GEO.id2,GEO.id2,HC03_VC131
0,Id2,Percent; HEALTH INSURANCE COVERAGE - Civilian noninstitutionalized population - With health insurance coverage
1,20001,96.0
2,20002,95.4
3,20003,97.6
4,20004,98.7
5,20005,95.5
6,20006,96.3
7,20007,97.5
8,20008,96.4
9,20009,95.9
10,20010,91.3
11,20011,91.3
12,20012,94.6
13,20015,98.6
14,20016,97.9
15,20017,94.0
16,20018,95.5
17,20019,95.6
18,20020,95.5
19,20024,95.2
20,20032,94.6
21,20036,98.7
22,20037,96.8
23,20045,-
24,20052,91.5
25,20053,-
26,20057,97.9
27,20064,96.3
28,20105,96.7
29,20106,97.4
30,20109,78.4
31,20110,83.9
32,20111,80.0
33,20112,94.9
34,20115,90.8
35,20117,93.6
36,20118,100.0
37,20119,90.4
38,20120,91.3
39,20121,85.4
40,20124,95.7
41,20129,100.0
42,20130,97.0
43,20132,95.9
44,20135,84.5
45,20136,95.3
46,20137,96.3
47,20139,74.5
48,20141,97.3
49,20143,98.8
50,20144,97.7
51,20147,93.4
52,20148,97.0
53,20151,89.2
54,20152,95.5
55,20155,93.7
56,20158,97.5
57,20164,83.3
58,20165,95.0
59,20166,87.8
60,20169,95.5
61,20170,87.2
62,20171,94.4
63,20175,96.1
64,20176,90.6
65,20180,95.7
66,20181,93.3
67,20184,98.5
68,20186,92.4
69,20187,93.7
70,20190,94.3
71,20191,91.6
72,20194,97.8
73,20197,100.0
74,20198,90.8
75,20202,-
76,20204,-
77,20228,-
78,20230,-
79,20240,-
80,20245,-
81,20260,-
82,20307,-
83,20317,95.2
84,20319,-
85,20373,-
86,20390,-
87,20405,-
88,20418,-
89,20427,-
90,20506,-
91,20510,-
92,20520,-
93,20535,-
94,20540,-
95,20551,-
96,20553,-
97,20560,-
98,20565,-
99,20566,-
100,20593,-
101,20601,95.3
102,20602,96.9
103,20603,96.4
104,20606,97.2
105,20607,95.6
106,20608,88.4
107,20609,98.8
108,20611,93.4
109,20612,87.7
110,20613,94.1
111,20615,89.7
112,20616,93.8
113,20617,100.0
114,20618,99.0
115,20619,95.4
116,20620,96.7
117,20621,96.3
118,20622,86.7
119,20623,94.2
120,20624,97.8
121,20625,97.0
122,20626,82.6
123,20628,87.6
124,20629,90.4
125,20630,100.0
126,20632,100.0
127,20634,93.2
128,20636,97.1
129,20637,96.1
130,20639,94.6
131,20640,94.8
132,20645,98.5
133,20646,95.6
134,20650,93.7
135,20653,92.9
136,20657,92.8
137,20658,97.0
138,20659,93.5
139,20660,100.0
140,20662,97.6
141,20664,94.8
142,20667,97.3
143,20670,100.0
144,20674,98.6
145,20675,92.6
146,20676,97.3
147,20677,96.3
148,20678,93.9
149,20680,96.9
150,20684,92.2
151,20685,94.4
152,20686,98.5
153,20687,100.0
154,20688,100.0
155,20689,100.0
156,20690,100.0
157,20692,98.7
158,20693,98.9
159,20695,97.5
160,20701,-
161,20705,88.2
162,20706,85.9
163,20707,90.3
164,20708,88.5
165,20710,81.8
166,20711,96.3
167,20712,81.2
168,20714,95.9
169,20715,95.0
170,20716,94.1
171,20720,96.1
172,20721,96.0
173,20722,79.9
174,20723,91.4
175,20724,92.2
176,20732,94.3
177,20733,98.5
178,20735,93.9
179,20736,98.2
180,20737,73.4
181,20740,90.8
182,20742,99.5
183,20743,89.3
184,20744,90.7
185,20745,83.9
186,20746,90.0
187,20747,91.6
188,20748,91.3
189,20751,99.0
190,20754,93.8
191,20755,96.8
192,20758,100.0
193,20759,96.4
194,20762,99.3
195,20763,92.1
196,20764,94.2
197,20765,91.5
198,20769,91.5
199,20770,87.3
200,20772,94.5
201,20774,93.6
202,20776,97.1
203,20777,97.0
204,20778,97.5
205,20779,96.9
206,20781,80.9
207,20782,81.0
208,20783,65.0
209,20784,82.5
210,20785,88.6
211,20794,92.0
212,20812,97.7
213,20814,97.8
214,20815,96.3
215,20816,98.9
216,20817,97.9
217,20818,97.8
218,20832,97.9
219,20833,95.7
220,20837,96.9
221,20838,97.5
222,20839,97.0
223,20841,96.8
224,20842,93.8
225,20850,94.3
226,20851,78.3
227,20852,94.4
228,20853,90.4
229,20854,97.5
230,20855,94.4
231,20860,94.7
232,20861,97.1
233,20862,100.0
234,20866,90.1
235,20868,92.9
236,20871,95.2
237,20872,96.8
238,20874,92.4
239,20876,91.1
240,20877,81.3
241,20878,94.7
242,20879,90.6
243,20880,98.1
244,20882,96.9
245,20886,88.3
246,20895,95.6
247,20896,98.8
248,20899,83.8
249,20901,88.1
250,20902,83.8
251,20903,74.8
252,20904,89.4
253,20905,92.9
254,20906,86.0
255,20910,94.0
256,20912,85.3
257,21001,94.1
258,21005,99.4
259,21009,95.7
260,21010,100.0
261,21012,96.0
262,21013,99.1
263,21014,96.8
264,21015,97.1
265,21017,95.3
266,21028,97.8
267,21029,97.2
268,21030,90.1
269,21031,-
270,21032,96.4
271,21034,93.8
272,21035,99.1
273,21036,98.9
274,21037,94.0
275,21040,93.8
276,21042,96.8
277,21043,96.0
278,21044,94.8
279,21045,95.5
280,21046,95.7
281,21047,96.5
282,21048,97.0
283,21050,97.7
284,21051,100.0
285,21052,66.9
286,21053,88.7
287,21054,97.1
288,21056,100.0
289,21057,98.6
290,21060,92.4
291,21061,92.1
292,21071,100.0
293,21074,96.9
294,21075,93.4
295,21076,96.3
296,21077,94.2
297,21078,96.8
298,21082,100.0
299,21084,96.5
300,21085,96.4
301,21087,96.6
302,21090,94.5
303,21093,97.2
304,21102,97.9
305,21104,97.7
306,21105,100.0
307,21108,96.4
308,21111,98.3
309,21113,95.2
310,21114,97.1
311,21117,91.7
312,21120,98.2
313,21122,95.4
314,21128,98.0
315,21130,68.2
316,21131,98.8
317,21132,97.2
318,21133,95.2
319,21136,91.7
320,21140,95.9
321,21144,93.8
322,21146,98.3
323,21152,94.4
324,21153,93.5
325,21154,95.8
326,21155,95.1
327,21156,100.0
328,21157,95.7
329,21158,96.1
330,21160,95.2
331,21161,98.3
332,21162,94.8
333,21163,93.6
334,21201,94.3
335,21202,93.4
336,21204,95.7
337,21205,88.5
338,21206,93.2
339,21207,92.4
340,21208,95.2
341,21209,97.1
342,21210,96.8
343,21211,94.6
344,21212,94.1
345,21213,92.5
346,21214,94.0
347,21215,91.0
348,21216,91.9
349,21217,91.4
350,21218,93.2
351,21219,95.8
352,21220,90.6
353,21221,90.6
354,21222,91.8
355,21223,89.6
356,21224,85.1
357,21225,89.9
358,21226,96.7
359,21227,91.2
360,21228,93.7
361,21229,92.8
362,21230,93.6
363,21231,91.7
364,21234,93.7
365,21236,95.1
366,21237,89.3
367,21239,93.4
368,21240,-
369,21244,90.9
370,21250,96.8
371,21251,98.6
372,21252,95.1
373,21286,95.9
374,21401,94.2
375,21402,97.9
376,21403,90.1
377,21405,100.0
378,21409,96.3
379,21502,93.4
380,21520,92.6
381,21521,95.6
382,21522,94.2
383,21523,94.1
384,21524,100.0
385,21529,93.5
386,21530,88.5
387,21531,91.4
388,21532,96.2
389,21536,90.9
390,21538,97.2
391,21539,97.0
392,21540,92.9
393,21541,95.4
394,21542,92.6
395,21543,93.4
396,21545,89.5
397,21550,91.8
398,21555,92.8
399,21557,96.1
400,21561,93.3
401,21562,95.6
402,21601,93.2
403,21607,86.6
404,21610,89.9
405,21612,100.0
406,21613,95.2
407,21617,96.2
408,21619,91.5
409,21620,96.0
410,21622,97.0
411,21623,93.9
412,21624,96.1
413,21625,97.1
414,21626,100.0
415,21627,100.0
416,21628,87.6
417,21629,92.0
418,21631,97.9
419,21632,92.8
420,21634,100.0
421,21635,93.1
422,21636,95.4
423,21638,97.3
424,21639,93.1
425,21640,90.8
426,21641,93.3
427,21643,94.5
428,21644,100.0
429,21645,90.9
430,21647,85.7
431,21648,90.9
432,21649,69.6
433,21650,100.0
434,21651,88.5
435,21652,100.0
436,21653,93.4
437,21654,98.3
438,21655,94.4
439,21657,90.6
440,21658,93.4
441,21659,92.8
442,21660,92.7
443,21661,92.4
444,21662,98.7
445,21663,94.1
446,21664,74.7
447,21665,94.7
448,21666,97.0
449,21667,100.0
450,21668,95.4
451,21669,100.0
452,21671,93.2
453,21672,88.8
454,21673,93.7
