GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Households; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Households; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months
8600000US20001,20001,ZCTA5 20001,18764,434,6040,456,3683,376,12724,536,9.2,1.4,6.2,2.2,2.0,1.3,10.8,1.7,4.7,1.1,4.0,1.5,2.2,1.7,5.1,1.4,6.9,1.1,8.0,2.4,3.6,1.9,6.5,1.4,4.7,0.9,5.7,1.9,2.2,1.3,4.0,1.0,5.7,1.0,6.6,2.2,4.9,2.8,5.4,1.0,9.4,1.2,9.7,2.2,6.4,2.2,9.9,1.5,9.1,1.1,6.4,1.7,5.2,1.8,10.8,1.3,20.1,1.7,15.5,2.4,17.1,2.8,21.5,2.1,11.7,1.2,12.3,2.5,17.7,3.8,11.5,1.7,18.5,1.5,25.8,3.2,38.7,4.5,14.5,1.4,100447,4062,113317,10560,167848,10513,93786,5306,122164,4448,143310,9750,N,N,110090,4236,33.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),40.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.5,(X)
8600000US20002,20002,ZCTA5 20002,26217,498,10665,491,6313,394,15552,478,9.5,1.2,5.2,1.4,0.7,0.6,12.7,1.8,4.4,0.8,3.0,1.1,2.1,1.4,5.8,1.1,5.9,0.9,7.0,1.7,2.4,1.1,5.7,1.2,5.7,0.8,5.6,1.4,3.4,1.3,5.7,1.1,8.2,1.0,7.0,1.6,3.7,1.4,9.0,1.3,12.6,1.2,10.6,1.8,6.8,1.7,13.9,1.8,11.0,1.2,10.8,1.7,8.7,1.7,11.2,1.6,18.0,1.4,16.7,2.0,19.5,2.9,19.0,1.9,10.4,1.0,13.7,1.9,20.3,2.8,8.2,1.1,14.1,0.9,20.3,2.0,32.3,3.1,8.9,1.1,82022,4585,101998,5091,154588,6278,69683,5553,108621,3152,131515,5867,N,N,90166,3969,32.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),36.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28.8,(X)
8600000US20003,20003,ZCTA5 20003,12394,249,5296,289,4051,258,7098,328,5.5,1.2,3.5,1.7,0.1,0.2,7.2,2.0,3.0,1.0,2.6,1.6,0.4,0.5,3.1,1.1,3.7,1.1,2.3,1.4,1.7,1.4,5.0,1.7,2.8,0.8,1.5,1.3,0.8,0.6,4.0,1.2,3.4,0.7,1.9,1.0,0.6,0.5,4.7,1.0,11.0,1.7,5.5,1.6,4.2,1.6,15.1,2.5,12.1,1.5,8.8,2.2,5.4,1.5,14.3,2.0,20.7,2.2,17.6,2.9,19.5,3.4,23.1,2.8,14.8,1.5,17.5,2.6,18.3,3.1,13.2,2.2,23.0,2.1,38.7,3.3,49.0,4.3,10.3,2.1,118607,4707,167746,9119,197875,12172,94339,4925,146590,6126,195543,9948,N,N,107367,5576,25.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),24.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),24.9,(X)
8600000US20004,20004,ZCTA5 20004,1163,125,280,70,265,65,883,116,4.1,2.3,0.0,11.7,0.0,12.4,5.4,3.0,0.7,1.1,0.0,11.7,0.0,12.4,0.9,1.4,0.8,1.3,0.0,11.7,0.0,12.4,1.0,1.7,1.7,1.8,0.0,11.7,0.0,12.4,2.3,2.4,5.4,3.4,2.5,4.0,2.6,4.2,6.3,4.2,6.8,3.9,5.0,5.4,5.3,5.7,7.4,4.9,8.8,3.9,2.5,3.7,2.6,3.9,10.8,5.0,28.3,6.4,8.2,7.5,6.0,6.7,34.7,8.4,14.3,5.0,12.9,9.5,13.6,10.1,14.7,5.5,29.1,7.0,68.9,12.7,69.8,12.5,16.5,7.2,144583,9150,248672,9383,249258,13976,135189,23732,173059,18311,293101,53478,N,N,134993,16332,18.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),22.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),17.2,(X)
8600000US20005,20005,ZCTA5 20005,8172,334,1668,276,1476,263,6504,391,9.2,2.5,3.1,2.9,1.6,2.5,10.7,3.0,2.6,1.4,2.6,2.9,0.7,1.0,2.6,1.6,3.7,1.7,0.4,0.6,0.0,2.3,4.6,2.1,5.2,2.0,10.1,7.1,10.5,7.7,4.0,1.7,5.5,1.9,3.5,4.7,3.6,5.3,6.0,1.9,12.0,3.2,8.0,7.0,7.5,7.8,13.1,3.5,15.8,3.2,5.7,3.6,3.5,3.1,18.4,3.7,19.6,3.5,19.5,7.5,21.7,8.2,19.7,3.6,10.3,2.3,13.2,5.8,12.5,5.8,9.7,2.4,16.1,3.2,33.9,10.1,38.3,11.1,11.3,3.1,94506,7549,142821,28823,151711,41962,83333,6475,120387,8170,169199,29402,N,N,107003,8665,24.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),32.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),21.9,(X)
8600000US20006,20006,ZCTA5 20006,616,89,13,15,13,15,603,89,30.8,10.8,0.0,85.4,0.0,85.4,31.5,11.0,10.7,7.3,0.0,85.4,0.0,85.4,10.9,7.5,1.8,2.0,0.0,85.4,0.0,85.4,1.8,2.1,3.7,2.8,0.0,85.4,0.0,85.4,3.8,2.8,11.9,7.7,46.2,53.8,46.2,53.8,11.1,7.7,11.7,6.5,0.0,85.4,0.0,85.4,11.9,6.7,10.6,5.2,0.0,85.4,0.0,85.4,10.8,5.3,9.1,7.8,53.8,53.8,53.8,53.8,8.1,7.7,7.3,3.0,0.0,85.4,0.0,85.4,7.5,3.0,2.4,2.9,0.0,85.4,0.0,85.4,2.5,3.0,40000,21074,-,**,-,**,37212,23259,56445,12730,N,N,N,N,55936,12916,21.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),0.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),22.1,(X)
8600000US20007,20007,ZCTA5 20007,11885,355,4628,296,3906,342,7257,459,5.3,1.4,1.5,0.9,0.6,0.6,7.8,2.2,2.7,1.1,0.0,0.8,0.0,0.9,4.4,1.8,2.7,1.1,1.0,0.9,0.4,0.7,4.0,1.8,3.7,1.5,1.4,1.3,1.7,1.6,5.1,2.2,4.3,1.1,1.8,1.0,1.6,1.0,5.6,1.5,14.1,2.3,3.8,1.9,3.0,1.7,20.7,3.4,9.0,1.6,5.6,2.1,3.1,1.7,11.7,2.4,16.5,2.4,13.8,3.3,12.0,3.1,18.3,3.1,11.6,2.2,12.9,2.8,12.9,3.1,10.5,2.9,30.2,2.7,58.1,4.4,64.8,4.6,11.8,2.4,123154,8428,220000,18251,239415,22244,83760,9623,186038,13489,302245,30338,N,N,109466,8584,28.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),27.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.3,(X)
8600000US20008,20008,ZCTA5 20008,15611,471,5668,484,4906,464,9943,564,3.6,1.2,0.7,0.8,0.0,0.7,5.2,1.7,2.5,1.0,0.5,0.6,0.6,0.7,3.6,1.6,2.5,1.0,0.5,0.7,0.5,0.8,3.7,1.5,3.1,1.2,1.9,1.2,1.3,1.2,3.7,1.7,4.1,1.2,0.7,0.8,0.2,0.3,6.1,1.9,11.4,2.2,6.1,2.7,4.4,2.0,14.6,3.0,12.2,2.3,5.8,2.5,6.2,3.0,15.8,3.0,23.1,2.5,20.3,4.0,17.5,3.9,24.7,3.5,10.5,1.9,12.6,3.0,12.5,3.3,9.5,2.6,27.0,2.7,50.9,5.3,56.7,5.3,12.9,2.6,120342,7947,205551,31402,231033,22311,94350,9042,180956,12430,276383,25553,N,N,123863,10280,21.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),22.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),19.8,(X)
8600000US20009,20009,ZCTA5 20009,27184,549,7316,469,5473,387,19868,579,6.4,1.2,6.2,2.6,0.8,1.0,6.5,1.3,2.3,0.9,1.6,1.3,0.3,0.4,2.5,1.1,4.6,1.0,4.2,1.8,0.5,0.6,5.1,1.1,4.7,1.1,4.5,2.1,2.4,1.7,4.9,1.4,7.0,1.0,6.0,2.1,4.1,1.4,7.0,1.3,12.4,1.4,6.3,2.0,6.2,2.1,14.7,1.8,11.1,1.3,7.8,2.4,6.8,2.3,12.2,1.5,21.1,1.8,16.3,2.6,19.2,3.2,23.1,2.2,12.2,1.6,16.1,3.2,20.4,3.9,10.7,1.6,18.3,1.6,31.1,3.6,39.4,4.4,13.2,1.6,102941,3604,143796,10142,172265,11442,94213,3852,134649,5066,178004,12889,N,N,117207,5551,26.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),28.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),25.6,(X)
