GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2017 inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2017 inflation-adjusted dollars)
8600000US20001,20001,ZCTA5 20001,54353,2353
8600000US20002,20002,ZCTA5 20002,49452,1563
8600000US20003,20003,ZCTA5 20003,63600,2632
8600000US20004,20004,ZCTA5 20004,117432,12612
8600000US20005,20005,ZCTA5 20005,76658,5296
8600000US20006,20006,ZCTA5 20006,15033,3328
8600000US20007,20007,ZCTA5 20007,83915,6276
8600000US20008,20008,ZCTA5 20008,97465,6105
8600000US20009,20009,ZCTA5 20009,74204,2855
8600000US20010,20010,ZCTA5 20010,45700,2178
8600000US20011,20011,ZCTA5 20011,38579,1390
8600000US20012,20012,ZCTA5 20012,52812,3836
8600000US20015,20015,ZCTA5 20015,92413,6527
8600000US20016,20016,ZCTA5 20016,86814,5510
8600000US20017,20017,ZCTA5 20017,40512,2574
8600000US20018,20018,ZCTA5 20018,36081,2155
8600000US20019,20019,ZCTA5 20019,21712,1090
8600000US20020,20020,ZCTA5 20020,22656,1689
8600000US20024,20024,ZCTA5 20024,55075,4002
8600000US20032,20032,ZCTA5 20032,20041,1295
8600000US20036,20036,ZCTA5 20036,73598,7354
8600000US20037,20037,ZCTA5 20037,57188,6371
8600000US20045,20045,ZCTA5 20045,-,**
8600000US20052,20052,ZCTA5 20052,4190,3917
8600000US20053,20053,ZCTA5 20053,-,**
8600000US20057,20057,ZCTA5 20057,3469,1124
8600000US20064,20064,ZCTA5 20064,3737,817
8600000US20105,20105,ZCTA5 20105,47901,2417
8600000US20106,20106,ZCTA5 20106,39872,4388
8600000US20109,20109,ZCTA5 20109,28232,1450
8600000US20110,20110,ZCTA5 20110,30711,1047
8600000US20111,20111,ZCTA5 20111,32146,1401
8600000US20112,20112,ZCTA5 20112,48077,2068
8600000US20115,20115,ZCTA5 20115,43299,5150
8600000US20117,20117,ZCTA5 20117,61258,12080
8600000US20119,20119,ZCTA5 20119,42233,4594
8600000US20120,20120,ZCTA5 20120,48183,1642
8600000US20121,20121,ZCTA5 20121,36734,1560
8600000US20124,20124,ZCTA5 20124,66977,3704
8600000US20129,20129,ZCTA5 20129,80047,22677
8600000US20130,20130,ZCTA5 20130,36700,9549
8600000US20132,20132,ZCTA5 20132,47232,2906
8600000US20135,20135,ZCTA5 20135,50880,10544
8600000US20136,20136,ZCTA5 20136,43319,1710
8600000US20137,20137,ZCTA5 20137,55684,8658
8600000US20139,20139,ZCTA5 20139,41249,20398
8600000US20141,20141,ZCTA5 20141,47390,3712
8600000US20143,20143,ZCTA5 20143,66984,24393
8600000US20144,20144,ZCTA5 20144,49188,13728
8600000US20147,20147,ZCTA5 20147,52300,1832
8600000US20148,20148,ZCTA5 20148,55866,1970
8600000US20151,20151,ZCTA5 20151,43957,2441
8600000US20152,20152,ZCTA5 20152,52023,2225
8600000US20155,20155,ZCTA5 20155,47217,1559
8600000US20158,20158,ZCTA5 20158,53151,4916
8600000US20164,20164,ZCTA5 20164,34881,1773
8600000US20165,20165,ZCTA5 20165,54896,2194
8600000US20166,20166,ZCTA5 20166,44818,3521
8600000US20169,20169,ZCTA5 20169,51508,1983
8600000US20170,20170,ZCTA5 20170,45981,1656
8600000US20171,20171,ZCTA5 20171,56386,1658
8600000US20175,20175,ZCTA5 20175,53591,2420
8600000US20176,20176,ZCTA5 20176,51429,2379
8600000US20180,20180,ZCTA5 20180,47847,3281
8600000US20181,20181,ZCTA5 20181,44609,3562
8600000US20184,20184,ZCTA5 20184,79457,29692
8600000US20186,20186,ZCTA5 20186,43308,3894
8600000US20187,20187,ZCTA5 20187,48909,2819
8600000US20190,20190,ZCTA5 20190,63886,5021
8600000US20191,20191,ZCTA5 20191,55389,2825
8600000US20194,20194,ZCTA5 20194,74537,4068
8600000US20197,20197,ZCTA5 20197,63375,13600
8600000US20198,20198,ZCTA5 20198,56392,15467
8600000US20202,20202,ZCTA5 20202,-,**
8600000US20204,20204,ZCTA5 20204,-,**
8600000US20228,20228,ZCTA5 20228,-,**
8600000US20230,20230,ZCTA5 20230,-,**
8600000US20240,20240,ZCTA5 20240,-,**
8600000US20245,20245,ZCTA5 20245,-,**
8600000US20260,20260,ZCTA5 20260,-,**
8600000US20307,20307,ZCTA5 20307,39423,8645
8600000US20317,20317,ZCTA5 20317,36099,14586
8600000US20319,20319,ZCTA5 20319,20515,3691
8600000US20373,20373,ZCTA5 20373,21211,4130
8600000US20390,20390,ZCTA5 20390,21298,1137
8600000US20405,20405,ZCTA5 20405,-,**
8600000US20418,20418,ZCTA5 20418,-,**
8600000US20427,20427,ZCTA5 20427,-,**
8600000US20506,20506,ZCTA5 20506,-,**
8600000US20510,20510,ZCTA5 20510,-,**
8600000US20520,20520,ZCTA5 20520,-,**
8600000US20535,20535,ZCTA5 20535,-,**
8600000US20540,20540,ZCTA5 20540,-,**
8600000US20551,20551,ZCTA5 20551,-,**
8600000US20553,20553,ZCTA5 20553,-,**
8600000US20560,20560,ZCTA5 20560,-,**
8600000US20565,20565,ZCTA5 20565,-,**
8600000US20566,20566,ZCTA5 20566,-,**
8600000US20593,20593,ZCTA5 20593,-,**
8600000US20601,20601,ZCTA5 20601,39833,2551
8600000US20602,20602,ZCTA5 20602,33458,1794
8600000US20603,20603,ZCTA5 20603,43988,2525
8600000US20606,20606,ZCTA5 20606,32799,11604
8600000US20607,20607,ZCTA5 20607,47371,3459
8600000US20608,20608,ZCTA5 20608,31069,4497
8600000US20609,20609,ZCTA5 20609,25716,5766
8600000US20611,20611,ZCTA5 20611,43112,17052
8600000US20612,20612,ZCTA5 20612,27874,10785
8600000US20613,20613,ZCTA5 20613,44833,2219
8600000US20615,20615,ZCTA5 20615,46678,11732
8600000US20616,20616,ZCTA5 20616,35444,3286
8600000US20617,20617,ZCTA5 20617,39393,10905
8600000US20618,20618,ZCTA5 20618,41842,10739
8600000US20619,20619,ZCTA5 20619,40749,2435
8600000US20620,20620,ZCTA5 20620,36246,6534
8600000US20621,20621,ZCTA5 20621,33953,8682
8600000US20622,20622,ZCTA5 20622,29483,3718
8600000US20623,20623,ZCTA5 20623,39825,4371
8600000US20624,20624,ZCTA5 20624,45251,22354
8600000US20625,20625,ZCTA5 20625,27184,7698
8600000US20626,20626,ZCTA5 20626,80046,46728
8600000US20628,20628,ZCTA5 20628,102344,77581
8600000US20629,20629,ZCTA5 20629,42834,28643
8600000US20630,20630,ZCTA5 20630,32706,12694
8600000US20632,20632,ZCTA5 20632,25942,7340
8600000US20634,20634,ZCTA5 20634,34097,4281
8600000US20636,20636,ZCTA5 20636,41815,3831
8600000US20637,20637,ZCTA5 20637,46109,3663
8600000US20639,20639,ZCTA5 20639,44349,3078
8600000US20640,20640,ZCTA5 20640,30311,1783
8600000US20645,20645,ZCTA5 20645,52551,13394
8600000US20646,20646,ZCTA5 20646,42299,3062
8600000US20650,20650,ZCTA5 20650,46577,3957
8600000US20653,20653,ZCTA5 20653,34437,2487
8600000US20657,20657,ZCTA5 20657,37011,1956
8600000US20658,20658,ZCTA5 20658,30479,8489
8600000US20659,20659,ZCTA5 20659,36117,2430
8600000US20662,20662,ZCTA5 20662,31069,4369
8600000US20664,20664,ZCTA5 20664,31018,3771
8600000US20667,20667,ZCTA5 20667,24587,9263
8600000US20670,20670,ZCTA5 20670,20360,2443
8600000US20674,20674,ZCTA5 20674,38234,29145
8600000US20675,20675,ZCTA5 20675,38195,5454
8600000US20676,20676,ZCTA5 20676,35790,3909
8600000US20677,20677,ZCTA5 20677,43960,4647
8600000US20678,20678,ZCTA5 20678,36498,2489
8600000US20680,20680,ZCTA5 20680,26715,5413
8600000US20684,20684,ZCTA5 20684,41202,10855
8600000US20685,20685,ZCTA5 20685,40909,4478
8600000US20686,20686,ZCTA5 20686,4312,2727
8600000US20687,20687,ZCTA5 20687,51678,27332
8600000US20688,20688,ZCTA5 20688,73269,31340
8600000US20689,20689,ZCTA5 20689,44184,7176
8600000US20690,20690,ZCTA5 20690,45388,13951
8600000US20692,20692,ZCTA5 20692,39234,5949
8600000US20693,20693,ZCTA5 20693,49056,9473
8600000US20695,20695,ZCTA5 20695,40797,3623
8600000US20701,20701,ZCTA5 20701,-,**
