GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC03_EST_VC25,HC03_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC03_EST_VC26,HC03_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC03_EST_VC27,HC03_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC03_EST_VC28,HC03_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC03_EST_VC29,HC03_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC03_EST_VC30,HC03_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC03_EST_VC31,HC03_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC03_EST_VC32,HC03_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC03_EST_VC33,HC03_MOE_VC33,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC03_EST_VC36,HC03_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC03_EST_VC37,HC03_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC03_EST_VC38,HC03_MOE_VC38,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC03_EST_VC39,HC03_MOE_VC39
Id,Id2,Geography,Total; Estimate; Civilian noninstitutionalized population,Total; Margin of Error; Civilian noninstitutionalized population,Public Coverage; Estimate; Civilian noninstitutionalized population,Public Coverage; Margin of Error; Civilian noninstitutionalized population,Percent Public Coverage; Estimate; Civilian noninstitutionalized population,Percent Public Coverage; Margin of Error; Civilian noninstitutionalized population,Total; Estimate; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination,Total; Margin of Error; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination,Public Coverage; Estimate; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination,Public Coverage; Margin of Error; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination,Percent Public Coverage; Estimate; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination,Percent Public Coverage; Margin of Error; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination,Total; Estimate; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination - Under 19,Total; Margin of Error; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination - Under 19,Public Coverage; Estimate; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination - Under 19,Public Coverage; Margin of Error; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination - Under 19,Percent Public Coverage; Estimate; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination - Under 19,Percent Public Coverage; Margin of Error; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination - Under 19,Total; Estimate; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination - 19 to 64 years,Total; Margin of Error; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination - 19 to 64 years,Public Coverage; Estimate; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination - 19 to 64 years,Public Coverage; Margin of Error; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination - 19 to 64 years,Percent Public Coverage; Estimate; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination - 19 to 64 years,Percent Public Coverage; Margin of Error; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination - 19 to 64 years,Total; Estimate; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination - 65 years and over,Total; Margin of Error; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination - 65 years and over,Public Coverage; Estimate; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination - 65 years and over,Public Coverage; Margin of Error; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination - 65 years and over,Percent Public Coverage; Estimate; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination - 65 years and over,Percent Public Coverage; Margin of Error; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination - 65 years and over,Total; Estimate; Medicaid/means-tested public coverage alone or in combination,Total; Margin of Error; Medicaid/means-tested public coverage alone or in combination,Public Coverage; Estimate; Medicaid/means-tested public coverage alone or in combination,Public Coverage; Margin of Error; Medicaid/means-tested public coverage alone or in combination,Percent Public Coverage; Estimate; Medicaid/means-tested public coverage alone or in combination,Percent Public Coverage; Margin of Error; Medicaid/means-tested public coverage alone or in combination,Total; Estimate; Medicaid/means-tested public coverage alone or in combination - Under 19,Total; Margin of Error; Medicaid/means-tested public coverage alone or in combination - Under 19,Public Coverage; Estimate; Medicaid/means-tested public coverage alone or in combination - Under 19,Public Coverage; Margin of Error; Medicaid/means-tested public coverage alone or in combination - Under 19,Percent Public Coverage; Estimate; Medicaid/means-tested public coverage alone or in combination - Under 19,Percent Public Coverage; Margin of Error; Medicaid/means-tested public coverage alone or in combination - Under 19,Total; Estimate; Medicaid/means-tested public coverage alone or in combination - 19 to 64 years,Total; Margin of Error; Medicaid/means-tested public coverage alone or in combination - 19 to 64 years,Public Coverage; Estimate; Medicaid/means-tested public coverage alone or in combination - 19 to 64 years,Public Coverage; Margin of Error; Medicaid/means-tested public coverage alone or in combination - 19 to 64 years,Percent Public Coverage; Estimate; Medicaid/means-tested public coverage alone or in combination - 19 to 64 years,Percent Public Coverage; Margin of Error; Medicaid/means-tested public coverage alone or in combination - 19 to 64 years,Total; Estimate; Medicaid/means-tested public coverage alone or in combination - 65 years and over,Total; Margin of Error; Medicaid/means-tested public coverage alone or in combination - 65 years and over,Public Coverage; Estimate; Medicaid/means-tested public coverage alone or in combination - 65 years and over,Public Coverage; Margin of Error; Medicaid/means-tested public coverage alone or in combination - 65 years and over,Percent Public Coverage; Estimate; Medicaid/means-tested public coverage alone or in combination - 65 years and over,Percent Public Coverage; Margin of Error; Medicaid/means-tested public coverage alone or in combination - 65 years and over,Total; Estimate; VA health care coverage alone or in combination,Total; Margin of Error; VA health care coverage alone or in combination,Public Coverage; Estimate; VA health care coverage alone or in combination,Public Coverage; Margin of Error; VA health care coverage alone or in combination,Percent Public Coverage; Estimate; VA health care coverage alone or in combination,Percent Public Coverage; Margin of Error; VA health care coverage alone or in combination,Total; Estimate; VA health care coverage alone or in combination - Under 19,Total; Margin of Error; VA health care coverage alone or in combination - Under 19,Public Coverage; Estimate; VA health care coverage alone or in combination - Under 19,Public Coverage; Margin of Error; VA health care coverage alone or in combination - Under 19,Percent Public Coverage; Estimate; VA health care coverage alone or in combination - Under 19,Percent Public Coverage; Margin of Error; VA health care coverage alone or in combination - Under 19,Total; Estimate; VA health care coverage alone or in combination - 19 to 64 years,Total; Margin of Error; VA health care coverage alone or in combination - 19 to 64 years,Public Coverage; Estimate; VA health care coverage alone or in combination - 19 to 64 years,Public Coverage; Margin of Error; VA health care coverage alone or in combination - 19 to 64 years,Percent Public Coverage; Estimate; VA health care coverage alone or in combination - 19 to 64 years,Percent Public Coverage; Margin of Error; VA health care coverage alone or in combination - 19 to 64 years,Total; Estimate; VA health care coverage alone or in combination - 65 years and over,Total; Margin of Error; VA health care coverage alone or in combination - 65 years and over,Public Coverage; Estimate; VA health care coverage alone or in combination - 65 years and over,Public Coverage; Margin of Error; VA health care coverage alone or in combination - 65 years and over,Percent Public Coverage; Estimate; VA health care coverage alone or in combination - 65 years and over,Percent Public Coverage; Margin of Error; VA health care coverage alone or in combination - 65 years and over,Total; Estimate; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - Below 138 percent of the poverty threshold,Total; Margin of Error; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - Below 138 percent of the poverty threshold,Public Coverage; Estimate; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - Below 138 percent of the poverty threshold,Public Coverage; Margin of Error; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - Below 138 percent of the poverty threshold,Percent Public Coverage; Estimate; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - Below 138 percent of the poverty threshold,Percent Public Coverage; Margin of Error; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - Below 138 percent of the poverty threshold,Total; Estimate; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - At or above 138 percent of the poverty threshold,Total; Margin of Error; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - At or above 138 percent of the poverty threshold,Public Coverage; Estimate; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - At or above 138 percent of the poverty threshold,Public Coverage; Margin of Error; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - At or above 138 percent of the poverty threshold,Percent Public Coverage; Estimate; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - At or above 138 percent of the poverty threshold,Percent Public Coverage; Margin of Error; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - At or above 138 percent of the poverty threshold,"Total; Estimate; Worked full-time, year-round (19-64 years)","Total; Margin of Error; Worked full-time, year-round (19-64 years)","Public Coverage; Estimate; Worked full-time, year-round (19-64 years)","Public Coverage; Margin of Error; Worked full-time, year-round (19-64 years)","Percent Public Coverage; Estimate; Worked full-time, year-round (19-64 years)","Percent Public Coverage; Margin of Error; Worked full-time, year-round (19-64 years)",Total; Estimate; Under 6,Total; Margin of Error; Under 6,Public Coverage; Estimate; Under 6,Public Coverage; Margin of Error; Under 6,Percent Public Coverage; Estimate; Under 6,Percent Public Coverage; Margin of Error; Under 6,Total; Estimate; 6 to 18 years,Total; Margin of Error; 6 to 18 years,Public Coverage; Estimate; 6 to 18 years,Public Coverage; Margin of Error; 6 to 18 years,Percent Public Coverage; Estimate; 6 to 18 years,Percent Public Coverage; Margin of Error; 6 to 18 years,Total; Estimate; 19 to 25 years,Total; Margin of Error; 19 to 25 years,Public Coverage; Estimate; 19 to 25 years,Public Coverage; Margin of Error; 19 to 25 years,Percent Public Coverage; Estimate; 19 to 25 years,Percent Public Coverage; Margin of Error; 19 to 25 years,Total; Estimate; 26 to 34 years,Total; Margin of Error; 26 to 34 years,Public Coverage; Estimate; 26 to 34 years,Public Coverage; Margin of Error; 26 to 34 years,Percent Public Coverage; Estimate; 26 to 34 years,Percent Public Coverage; Margin of Error; 26 to 34 years,Total; Estimate; 35 to 44 years,Total; Margin of Error; 35 to 44 years,Public Coverage; Estimate; 35 to 44 years,Public Coverage; Margin of Error; 35 to 44 years,Percent Public Coverage; Estimate; 35 to 44 years,Percent Public Coverage; Margin of Error; 35 to 44 years,Total; Estimate; 45 to 54 years,Total; Margin of Error; 45 to 54 years,Public Coverage; Estimate; 45 to 54 years,Public Coverage; Margin of Error; 45 to 54 years,Percent Public Coverage; Estimate; 45 to 54 years,Percent Public Coverage; Margin of Error; 45 to 54 years,Total; Estimate; 55 to 64 years,Total; Margin of Error; 55 to 64 years,Public Coverage; Estimate; 55 to 64 years,Public Coverage; Margin of Error; 55 to 64 years,Percent Public Coverage; Estimate; 55 to 64 years,Percent Public Coverage; Margin of Error; 55 to 64 years,Total; Estimate; 65 to 74 years,Total; Margin of Error; 65 to 74 years,Public Coverage; Estimate; 65 to 74 years,Public Coverage; Margin of Error; 65 to 74 years,Percent Public Coverage; Estimate; 65 to 74 years,Percent Public Coverage; Margin of Error; 65 to 74 years,Total; Estimate; 75 years and over,Total; Margin of Error; 75 years and over,Public Coverage; Estimate; 75 years and over,Public Coverage; Margin of Error; 75 years and over,Percent Public Coverage; Estimate; 75 years and over,Percent Public Coverage; Margin of Error; 75 years and over,Total; Estimate; COVERAGE ALONE - Public health insurance alone,Total; Margin of Error; COVERAGE ALONE - Public health insurance alone,Public Coverage; Estimate; COVERAGE ALONE - Public health insurance alone,Public Coverage; Margin of Error; COVERAGE ALONE - Public health insurance alone,Percent Public Coverage; Estimate; COVERAGE ALONE - Public health insurance alone,Percent Public Coverage; Margin of Error; COVERAGE ALONE - Public health insurance alone,Total; Estimate; COVERAGE ALONE - Public health insurance alone - Medicare coverage alone,Total; Margin of Error; COVERAGE ALONE - Public health insurance alone - Medicare coverage alone,Public Coverage; Estimate; COVERAGE ALONE - Public health insurance alone - Medicare coverage alone,Public Coverage; Margin of Error; COVERAGE ALONE - Public health insurance alone - Medicare coverage alone,Percent Public Coverage; Estimate; COVERAGE ALONE - Public health insurance alone - Medicare coverage alone,Percent Public Coverage; Margin of Error; COVERAGE ALONE - Public health insurance alone - Medicare coverage alone,Total; Estimate; COVERAGE ALONE - Public health insurance alone - Medicaid/means tested coverage alone,Total; Margin of Error; COVERAGE ALONE - Public health insurance alone - Medicaid/means tested coverage alone,Public Coverage; Estimate; COVERAGE ALONE - Public health insurance alone - Medicaid/means tested coverage alone,Public Coverage; Margin of Error; COVERAGE ALONE - Public health insurance alone - Medicaid/means tested coverage alone,Percent Public Coverage; Estimate; COVERAGE ALONE - Public health insurance alone - Medicaid/means tested coverage alone,Percent Public Coverage; Margin of Error; COVERAGE ALONE - Public health insurance alone - Medicaid/means tested coverage alone,Total; Estimate; COVERAGE ALONE - Public health insurance alone - VA health care coverage alone,Total; Margin of Error; COVERAGE ALONE - Public health insurance alone - VA health care coverage alone,Public Coverage; Estimate; COVERAGE ALONE - Public health insurance alone - VA health care coverage alone,Public Coverage; Margin of Error; COVERAGE ALONE - Public health insurance alone - VA health care coverage alone,Percent Public Coverage; Estimate; COVERAGE ALONE - Public health insurance alone - VA health care coverage alone,Percent Public Coverage; Margin of Error; COVERAGE ALONE - Public health insurance alone - VA health care coverage alone
8600000US20001,20001,ZCTA5 20001,45440,1497,11614,1109,25.6,2.0,(X),(X),4179,411,9.2,0.9,5723,753,87,56,1.5,0.9,36256,1096,887,199,2.4,0.6,3461,335,3205,319,92.6,2.8,(X),(X),9334,1070,20.5,2.0,5723,753,2315,643,40.5,7.6,36256,1096,5522,596,15.2,1.5,3461,335,1497,230,43.3,6.0,(X),(X),570,145,1.3,0.3,5723,753,8,17,0.1,0.3,36256,1096,376,126,1.0,0.3,3461,335,186,84,5.4,2.2,9052,1189,6193,926,68.4,6.7,31417,1253,5274,657,16.8,1.8,21305,791,1320,318,6.2,1.4,2000,418,672,284,33.6,11.1,3723,524,1673,448,44.9,7.4,8803,712,1000,236,11.4,2.5,13213,802,1377,314,10.4,2.3,6518,471,845,233,13.0,3.2,4165,408,1238,277,29.7,4.8,3557,328,1584,293,44.5,6.2,2055,318,1897,301,92.3,3.4,1406,232,1328,231,94.5,4.5,(X),(X),7074,894,15.6,1.7,(X),(X),796,238,1.8,0.5,(X),(X),6173,823,13.6,1.6,(X),(X),105,69,0.2,0.2
8600000US20002,20002,ZCTA5 20002,61303,1688,19850,1318,32.4,1.8,(X),(X),6576,422,10.7,0.7,10079,756,71,44,0.7,0.4,45672,1283,1407,263,3.1,0.6,5552,372,5098,338,91.8,1.8,(X),(X),15258,1271,24.9,1.8,10079,756,4263,640,42.3,4.6,45672,1283,9479,816,20.8,1.6,5552,372,1516,214,27.3,3.5,(X),(X),1118,209,1.8,0.3,10079,756,3,10,0.0,0.1,45672,1283,724,170,1.6,0.4,5552,372,391,114,7.0,2.0,12233,1017,8678,843,70.9,3.6,47860,1525,10906,1018,22.8,1.8,27341,887,2121,341,7.8,1.2,5061,504,1571,311,31.0,4.9,5018,505,2718,435,54.2,5.7,6576,556,1675,324,25.5,4.5,16120,1031,1583,319,9.8,1.8,10020,609,2312,350,23.1,3.3,6799,497,2251,314,33.1,3.8,6157,451,2631,290,42.7,3.7,3400,321,3069,288,90.3,2.6,2152,252,2040,244,94.8,2.6,(X),(X),12771,1179,20.8,1.7,(X),(X),1180,220,1.9,0.4,(X),(X),11415,1170,18.6,1.7,(X),(X),176,95,0.3,0.2
8600000US20003,20003,ZCTA5 20003,27440,857,6195,716,22.6,2.3,(X),(X),2992,314,10.9,1.1,4366,422,11,24,0.3,0.6,20177,697,409,133,2.0,0.7,2897,260,2572,252,88.8,3.1,(X),(X),3889,656,14.2,2.2,4366,422,1040,338,23.8,6.5,20177,697,2269,427,11.2,2.0,2897,260,580,156,20.0,4.6,(X),(X),296,102,1.1,0.4,4366,422,0,26,0.0,0.8,20177,697,175,78,0.9,0.4,2897,260,121,49,4.2,1.7,3959,622,2936,553,74.2,5.0,23336,873,3234,467,13.9,1.9,14236,637,427,113,3.0,0.8,2174,292,232,123,10.7,5.4,2192,375,808,353,36.9,11.5,2217,317,582,218,26.3,8.1,7619,550,518,163,6.8,2.2,4918,348,361,130,7.3,2.6,2823,288,539,157,19.1,4.9,2600,271,583,142,22.4,5.0,1718,217,1450,201,84.4,5.1,1179,170,1122,167,95.2,2.6,(X),(X),3309,558,12.1,1.9,(X),(X),494,122,1.8,0.4,(X),(X),2772,532,10.1,1.8,(X),(X),43,37,0.2,0.1
8600000US20004,20004,ZCTA5 20004,1663,198,246,96,14.8,5.0,(X),(X),191,83,11.5,4.5,107,62,0,12,0.0,27.3,1352,162,21,23,1.6,1.7,204,87,170,82,83.3,13.3,(X),(X),77,54,4.6,3.0,107,62,8,13,7.5,12.7,1352,162,51,35,3.8,2.5,204,87,18,31,8.8,12.2,(X),(X),17,19,1.0,1.1,107,62,0,12,0.0,27.3,1352,162,17,19,1.3,1.4,204,87,0,12,0.0,15.7,125,55,32,35,25.6,22.2,1538,188,214,81,13.9,4.7,1016,153,25,23,2.5,2.2,83,57,0,12,0.0,32.9,24,21,8,13,33.3,46.8,53,35,0,12,0.0,42.3,416,97,15,17,3.6,4.1,376,99,16,26,4.3,6.6,327,101,19,21,5.8,6.5,180,61,18,21,10.0,11.2,146,68,112,63,76.7,17.7,58,41,58,41,100.0,40.4,(X),(X),58,55,3.5,3.2,(X),(X),20,23,1.2,1.4,(X),(X),38,44,2.3,2.6,(X),(X),0,12,0.0,2.1
8600000US20005,20005,ZCTA5 20005,13132,855,2645,685,20.1,4.6,(X),(X),1057,233,8.0,1.8,939,337,0,19,0.0,3.7,11200,728,147,102,1.3,0.9,993,189,910,195,91.6,6.5,(X),(X),1794,645,13.7,4.5,939,337,430,352,45.8,27.1,11200,728,987,357,8.8,3.0,993,189,377,163,38.0,13.3,(X),(X),284,155,2.2,1.2,939,337,0,19,0.0,3.7,11200,728,248,145,2.2,1.3,993,189,36,42,3.6,4.4,2486,682,1798,662,72.3,10.0,10646,834,847,315,8.0,2.8,8321,659,247,124,3.0,1.5,599,260,156,229,26.0,33.7,340,151,274,157,80.6,17.5,1363,312,106,101,7.8,7.0,5047,605,340,295,6.7,5.6,2262,398,197,124,8.7,5.3,1418,290,216,177,15.2,11.4,1110,269,420,181,37.8,11.5,727,170,670,174,92.2,6.6,266,115,266,115,100.0,12.3,(X),(X),1580,653,12.0,4.6,(X),(X),209,119,1.6,0.9,(X),(X),1247,643,9.5,4.6,(X),(X),124,124,0.9,0.9
8600000US20006,20006,ZCTA5 20006,2780,331,138,69,5.0,2.3,(X),(X),62,39,2.2,1.4,839,162,0,12,0.0,4.1,1887,338,8,12,0.4,0.7,54,37,54,37,100.0,41.9,(X),(X),84,63,3.0,2.2,839,162,42,45,5.0,5.0,1887,338,42,36,2.2,1.8,54,37,0,12,0.0,41.9,(X),(X),8,12,0.3,0.5,839,162,0,12,0.0,4.1,1887,338,8,12,0.4,0.7,54,37,0,12,0.0,41.9,417,168,21,17,5.0,4.7,426,92,42,37,9.9,8.3,281,72,0,12,0.0,11.7,0,12,0,12,-,**,839,162,42,45,5.0,5.0,1478,325,33,34,2.2,2.1,223,108,0,12,0.0,14.5,112,57,0,12,0.0,26.3,17,17,1,3,5.9,16.9,57,23,8,12,14.0,19.1,32,36,32,36,100.0,54.4,22,13,22,13,100.0,65.6,(X),(X),81,62,2.9,2.1,(X),(X),5,8,0.2,0.3,(X),(X),76,62,2.7,2.1,(X),(X),0,12,0.0,1.2
8600000US20007,20007,ZCTA5 20007,27142,974,4311,390,15.9,1.5,(X),(X),3564,319,13.1,1.2,3855,412,0,23,0.0,0.9,19448,969,68,48,0.3,0.2,3839,323,3496,322,91.1,3.1,(X),(X),985,245,3.6,0.9,3855,412,123,69,3.2,1.8,19448,969,568,190,2.9,1.0,3839,323,294,126,7.7,3.1,(X),(X),165,90,0.6,0.3,3855,412,0,23,0.0,0.9,19448,969,90,66,0.5,0.3,3839,323,75,57,2.0,1.5,3975,865,559,197,14.1,5.3,21851,823,3715,363,17.0,1.7,11110,631,167,89,1.5,0.8,1459,291,30,32,2.1,2.1,2396,363,93,71,3.9,2.9,4770,791,108,67,2.3,1.4,5581,678,140,90,2.5,1.6,3433,403,74,65,2.2,1.9,2962,356,163,110,5.5,3.6,2702,371,207,91,7.7,3.2,2149,266,1845,243,85.9,5.1,1690,285,1651,274,97.7,3.1,(X),(X),1111,225,4.1,0.8,(X),(X),589,159,2.2,0.6,(X),(X),522,177,1.9,0.7,(X),(X),0,23,0.0,0.1
8600000US20008,20008,ZCTA5 20008,29183,1006,5361,535,18.4,1.7,(X),(X),4597,411,15.8,1.3,3775,498,0,23,0.0,0.9,20666,763,123,75,0.6,0.4,4742,393,4474,409,94.3,2.1,(X),(X),1058,380,3.6,1.3,3775,498,199,129,5.3,3.3,20666,763,550,227,2.7,1.1,4742,393,309,109,6.5,2.3,(X),(X),272,123,0.9,0.4,3775,498,0,23,0.0,0.9,20666,763,63,60,0.3,0.3,4742,393,209,96,4.4,1.9,2288,447,549,209,24.0,8.9,26836,1079,4811,487,17.9,1.7,14914,819,116,63,0.8,0.4,1601,311,120,91,7.5,5.5,2174,400,79,83,3.6,3.7,2911,498,60,48,2.1,1.7,6712,636,172,109,2.6,1.6,4705,610,178,117,3.8,2.5,3506,452,176,155,5.0,4.4,2832,382,102,75,3.6,2.7,2892,289,2647,297,91.5,3.4,1850,317,1827,314,98.8,1.9,(X),(X),1418,314,4.9,1.1,(X),(X),960,209,3.3,0.7,(X),(X),448,210,1.5,0.7,(X),(X),10,16,0.0,0.1
8600000US20009,20009,ZCTA5 20009,51390,1353,11642,916,22.7,1.6,(X),(X),5080,495,9.9,1.0,5261,753,116,174,2.2,3.2,42016,1327,1097,284,2.6,0.7,4113,417,3867,399,94.0,2.9,(X),(X),8491,917,16.5,1.7,5261,753,2608,570,49.6,6.7,42016,1327,4615,593,11.0,1.3,4113,417,1268,237,30.8,4.8,(X),(X),393,158,0.8,0.3,5261,753,0,29,0.0,0.7,42016,1327,236,120,0.6,0.3,4113,417,157,85,3.8,2.1,7767,1015,5258,706,67.7,5.5,43215,1314,6236,852,14.4,1.9,30256,1137,1384,287,4.6,0.9,2454,516,794,315,32.4,9.2,2807,520,1821,409,64.9,8.7,5036,704,559,185,11.1,3.5,17999,1125,1016,324,5.6,1.7,8964,663,1144,223,12.8,2.5,5464,539,990,324,18.1,5.2,4553,570,1451,310,31.9,5.7,2589,364,2367,346,91.4,4.4,1524,263,1500,259,98.4,2.4,(X),(X),6684,953,13.0,1.8,(X),(X),898,224,1.7,0.4,(X),(X),5720,945,11.1,1.8,(X),(X),66,86,0.1,0.2
