,zip,Total Population,Unemployment Rate,Per Capita Income,Percent Insured,hospital facilities,doctors,nml_emp,nml_inc,nml_ins,color_key_inc,color_key_emp,color_key_ins
0,20001,41692,5,54353.0,96.0,11.0,32.0,0.95,0.1823136964200061,0.96,#433e85,#dfe318,#e5e419
1,20002,52867,6,49452.0,95.4,8.0,58.0,0.94,0.16587450398988357,0.9540000000000001,#443983,#d8e219,#e2e418
2,20003,26330,5,63600.0,97.6,8.0,49.0,0.95,0.21333047103770517,0.976,#3f4788,#dfe318,#efe51c
3,20004,1610,4,117432.0,98.7,5.0,14.0,0.96,0.3938966018066005,0.987,#2a768e,#e5e419,#f6e620
4,20005,12311,2,76658.0,95.5,6.0,20.0,0.98,0.25713030265422016,0.955,#3a538b,#f1e51d,#e2e418
5,20006,2780,9,15033.0,96.3,9.0,20.0,0.91,0.050424480677827385,0.963,#471365,#c2df23,#e7e419
6,20007,23866,4,83915.0,97.5,14.0,59.0,0.96,0.28147211442026776,0.975,#375b8d,#e5e419,#efe51c
7,20008,26034,2,97465.0,96.4,3.0,52.0,0.98,0.3269222383599046,0.9640000000000001,#31668e,#f1e51d,#e7e419
8,20009,46797,4,74204.0,95.9,5.0,69.0,0.96,0.24889896655474644,0.9590000000000001,#3b518b,#e5e419,#e5e419
9,20010,28736,5,45700.0,91.3,20.0,52.0,0.95,0.15328934789973467,0.9129999999999999,#453581,#dfe318,#c5e021
10,20011,54799,7,38579.0,91.3,7.0,62.0,0.9299999999999999,0.1294037144994281,0.9129999999999999,#472e7c,#d2e21b,#c5e021
11,20012,12565,8,52812.0,94.6,,2.0,0.92,0.1771447930258378,0.946,#433d84,#cae11f,#dde318
12,20015,12349,4,92413.0,98.6,,39.0,0.96,0.309976553773702,0.986,#33628d,#e5e419,#f6e620
13,20016,29230,4,86814.0,97.9,19.0,67.0,0.96,0.29119609296646753,0.9790000000000001,#365d8d,#e5e419,#f1e51d
14,20017,16815,10,40512.0,94.0,13.0,64.0,0.9,0.13588748494779107,0.94,#472f7d,#bddf26,#d8e219
15,20018,16617,11,36081.0,95.5,5.0,19.0,0.89,0.12102479128162641,0.955,#472a7a,#b5de2b,#e2e418
16,20019,47261,18,21712.0,95.6,,45.0,0.8200000000000001,0.0728275343894757,0.956,#481b6d,#86d549,#e2e418
17,20020,41842,15,22656.0,95.5,2.0,37.0,0.85,0.07599394892814855,0.955,#481c6e,#9bd93c,#e2e418
18,20024,11342,7,55075.0,95.2,,15.0,0.9299999999999999,0.18473546686166056,0.9520000000000001,#423f85,#d2e21b,#dfe318
19,20032,30806,23,20041.0,94.6,,70.0,0.77,0.06722257814570202,0.946,#481a6c,#69cd5b,#dde318
20,20036,5653,2,73598.0,98.7,11.0,37.0,0.98,0.24686628942504754,0.987,#3b518b,#f1e51d,#f6e620
21,20037,14362,4,57188.0,96.8,22.0,53.0,0.96,0.19182300279409248,0.968,#424186,#e5e419,#eae51a
22,20045,0,0,0.0,0.0,,,1.0,0.0,0.0,#440154,#fde725,#440154
23,20052,686,18,4190.0,91.5,,,0.8200000000000001,0.014054318768050073,0.915,#450559,#86d549,#c8e020
24,20053,0,0,0.0,0.0,,,1.0,0.0,0.0,#440154,#fde725,#440154
25,20057,3709,6,3469.0,97.9,,,0.94,0.011635902579084893,0.9790000000000001,#450457,#d8e219,#f1e51d
26,20064,2213,9,3737.0,96.3,,,0.91,0.012534842299809813,0.963,#450559,#c2df23,#e7e419
27,20105,12329,2,47901.0,96.7,,,0.98,0.16067205806882257,0.9670000000000001,#453882,#f1e51d,#eae51a
28,20106,4409,3,39872.0,97.4,,,0.97,0.13374076322665693,0.9740000000000001,#472f7d,#ece51b,#efe51c
29,20109,30363,4,28232.0,78.4,,,0.96,0.09469726192352974,0.784,#482374,#e5e419,#70cf57
30,20110,37289,7,30711.0,83.9,,,0.9299999999999999,0.10301245434023527,0.8390000000000001,#482576,#d2e21b,#93d741
31,20111,26924,6,32146.0,80.0,,,0.94,0.10782580694934073,0.8,#482677,#d8e219,#7ad151
32,20112,20587,4,48077.0,94.9,,,0.96,0.16126240654213445,0.9490000000000001,#453882,#e5e419,#dde318
33,20115,4933,1,43299.0,90.8,,,0.99,0.14523578719279237,0.9079999999999999,#46337f,#f8e621,#c2df23
34,20117,2077,10,61258.0,93.6,,,0.9,0.2054748112394299,0.9359999999999999,#404588,#bddf26,#d5e21a
35,20118,7,0,,100.0,,,1.0,,1.0,#440154,#fde725,#fde725
36,20119,3808,5,42233.0,90.4,,,0.95,0.14166015382602834,0.904,#46327e,#dfe318,#c0df25
37,20120,32330,4,48183.0,91.3,,,0.96,0.16161795732719728,0.9129999999999999,#453882,#e5e419,#c5e021
38,20121,23070,3,36734.0,85.4,,,0.97,0.12321511828772108,0.8540000000000001,#472c7a,#ece51b,#9dd93b
39,20124,12879,5,66977.0,95.7,,,0.95,0.224657782369377,0.9570000000000001,#3e4a89,#dfe318,#e2e418
40,20129,472,12,80047.0,100.0,,,0.88,0.26849786501816325,1.0,#39568c,#b0dd2f,#fde725
41,20130,194,0,36700.0,97.0,,,1.0,0.12310107369628584,0.97,#472c7a,#fde725,#ece51b
42,20132,13120,4,47232.0,95.9,,,0.96,0.15842806301969953,0.9590000000000001,#453781,#e5e419,#e5e419
43,20135,2511,5,50880.0,84.5,,,0.95,0.1706643768301641,0.845,#443a83,#dfe318,#98d83e
44,20136,21299,3,43319.0,95.3,,,0.97,0.1453028722465778,0.953,#46337f,#ece51b,#dfe318
45,20137,1241,2,55684.0,96.3,,,0.98,0.18677820674942727,0.963,#423f85,#f1e51d,#e7e419
46,20139,212,0,41249.0,74.5,,,1.0,0.1383595691797846,0.745,#46307e,#fde725,#5ac864
47,20141,4542,3,47390.0,97.3,,,0.97,0.1589580349446045,0.973,#453781,#ece51b,#efe51c
48,20143,952,1,66984.0,98.8,,,0.99,0.22468126213820191,0.988,#3e4a89,#f8e621,#f6e620
49,20144,853,1,49188.0,97.7,,,0.99,0.16498898127991574,0.977,#443983,#f8e621,#f1e51d
50,20147,47620,3,52300.0,93.4,,,0.97,0.1754274156489305,0.934,#443b84,#ece51b,#d5e21a
51,20148,31534,3,55866.0,97.0,,,0.97,0.18738868073887477,0.97,#423f85,#ece51b,#ece51b
52,20151,17596,6,43957.0,89.2,,,0.94,0.14744288546233342,0.892,#46337f,#d8e219,#b8de29
53,20152,23016,3,52023.0,95.5,,,0.97,0.17449828765400213,0.955,#443b84,#ece51b,#e2e418
54,20155,25840,3,47217.0,93.7,,,0.97,0.15837774922936043,0.937,#453781,#ece51b,#d5e21a
55,20158,3318,2,53151.0,97.5,,,0.98,0.17828188468750106,0.975,#433d84,#f1e51d,#efe51c
56,20164,32039,4,34881.0,83.3,,,0.96,0.1169996880544999,0.833,#482979,#e5e419,#90d743
57,20165,25991,4,54896.0,95.0,,,0.96,0.18413505563028085,0.95,#423f85,#e5e419,#dfe318
58,20166,7707,3,44818.0,87.8,,,0.97,0.1503308970277967,0.878,#463480,#ece51b,#addc30
