GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC04_EST_VC12,HC04_MOE_VC12,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC04_EST_VC16,HC04_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC04_EST_VC17,HC04_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC04_EST_VC21,HC04_MOE_VC21,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC04_EST_VC23,HC04_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC03_EST_VC24,HC03_MOE_VC24,HC04_EST_VC24,HC04_MOE_VC24,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC03_EST_VC26,HC03_MOE_VC26,HC04_EST_VC26,HC04_MOE_VC26,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC03_EST_VC28,HC03_MOE_VC28,HC04_EST_VC28,HC04_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC03_EST_VC29,HC03_MOE_VC29,HC04_EST_VC29,HC04_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC03_EST_VC30,HC03_MOE_VC30,HC04_EST_VC30,HC04_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC03_EST_VC31,HC03_MOE_VC31,HC04_EST_VC31,HC04_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC03_EST_VC32,HC03_MOE_VC32,HC04_EST_VC32,HC04_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC03_EST_VC33,HC03_MOE_VC33,HC04_EST_VC33,HC04_MOE_VC33,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC03_EST_VC36,HC03_MOE_VC36,HC04_EST_VC36,HC04_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC03_EST_VC37,HC03_MOE_VC37,HC04_EST_VC37,HC04_MOE_VC37,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC03_EST_VC40,HC03_MOE_VC40,HC04_EST_VC40,HC04_MOE_VC40,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43,HC03_EST_VC43,HC03_MOE_VC43,HC04_EST_VC43,HC04_MOE_VC43,HC01_EST_VC44,HC01_MOE_VC44,HC02_EST_VC44,HC02_MOE_VC44,HC03_EST_VC44,HC03_MOE_VC44,HC04_EST_VC44,HC04_MOE_VC44,HC01_EST_VC45,HC01_MOE_VC45,HC02_EST_VC45,HC02_MOE_VC45,HC03_EST_VC45,HC03_MOE_VC45,HC04_EST_VC45,HC04_MOE_VC45,HC01_EST_VC46,HC01_MOE_VC46,HC02_EST_VC46,HC02_MOE_VC46,HC03_EST_VC46,HC03_MOE_VC46,HC04_EST_VC46,HC04_MOE_VC46,HC01_EST_VC47,HC01_MOE_VC47,HC02_EST_VC47,HC02_MOE_VC47,HC03_EST_VC47,HC03_MOE_VC47,HC04_EST_VC47,HC04_MOE_VC47
8600000US20001,20001,ZCTA5 20001,41692,1106,73.4,1.3,68.8,1.4,5.6,0.9,2314,296,24.2,6.9,18.7,6.4,22.9,13.6,6204,656,62.3,3.9,56.0,4.5,9.7,3.4,8180,569,89.9,2.3,87.1,2.7,2.9,1.2,6900,582,94.5,1.7,90.4,2.1,3.5,1.5,6613,483,92.7,2.7,88.6,2.8,2.9,1.1,4247,425,79.2,5.0,70.2,5.0,10.0,3.7,1616,227,71.3,7.2,63.8,8.1,10.6,5.3,1981,279,51.7,7.6,47.7,7.8,7.9,4.9,2120,328,25.4,6.5,24.0,6.4,5.8,5.9,1517,250,6.7,3.5,4.9,3.1,25.7,22.1,18553,820,90.8,1.4,87.5,1.7,2.6,0.8,17533,816,52.6,2.7,45.9,3.1,12.6,2.4,43,42,58.1,54.6,30.2,40.7,0.0,85.4,3132,342,79.6,5.3,76.3,5.3,3.6,2.2,0,26,-,**,-,**,-,**,1368,425,84.6,7.6,83.5,7.4,0.8,1.2,1063,232,81.9,7.9,79.6,8.1,1.7,2.3,3562,586,83.6,4.3,78.5,5.2,4.6,3.6,16706,792,91.0,1.4,88.3,1.6,2.0,0.6,35741,1045,82.3,1.3,77.4,1.6,5.2,0.9,17629,806,87.2,1.7,82.1,2.1,5.2,1.4,18112,766,77.4,2.0,72.8,2.3,5.3,1.3,2186,331,79.1,6.6,71.5,6.2,8.5,3.8,778,164,79.3,10.5,71.9,9.7,6.2,5.8,412,209,78.4,20.4,73.8,19.9,5.9,8.0,996,203,79.3,9.2,70.4,9.9,11.3,7.0,4417,624,46.6,5.3,33.8,6.1,27.4,7.3,27960,955,92.5,1.2,89.2,1.3,2.8,0.8,2845,375,53.3,7.1,46.1,7.1,12.9,5.1,29537,979,86.5,1.4,81.9,1.7,4.5,0.9,2095,346,64.4,7.5,54.9,7.7,14.7,7.1,3250,417,58.1,6.5,50.8,6.5,12.6,4.6,3101,387,77.9,6.3,72.0,7.0,6.9,3.1,21091,853,94.3,1.2,90.8,1.5,2.8,0.8
8600000US20002,20002,ZCTA5 20002,52867,1323,72.9,1.3,67.6,1.3,6.6,0.9,1846,324,24.0,6.7,13.3,4.4,44.5,15.1,4182,493,73.1,4.8,63.1,5.6,12.6,3.8,9320,771,90.2,2.2,85.8,2.4,3.9,1.4,8756,631,91.0,1.9,87.3,2.2,3.0,1.1,10096,607,86.0,2.6,79.3,3.0,7.2,2.0,6830,497,79.6,3.3,72.3,3.9,9.2,2.4,3107,309,56.8,5.8,53.9,5.5,4.9,2.8,3097,366,50.1,5.8,45.3,6.2,9.6,5.4,3427,320,29.5,5.0,29.0,4.9,1.8,2.2,2206,252,9.4,4.0,9.4,4.0,0.0,15.4,23881,780,87.3,1.3,84.2,1.4,2.3,0.6,25222,1009,58.9,2.3,51.1,2.4,13.1,2.1,106,72,44.3,34.0,44.3,34.0,0.0,44.9,1798,322,71.5,7.8,71.3,7.8,0.3,0.5,18,30,100.0,72.5,100.0,72.5,0.0,72.5,717,214,84.8,9.4,82.8,9.4,2.3,2.6,1125,245,77.2,7.4,71.7,8.4,7.0,5.4,2771,442,86.1,4.2,84.0,4.5,1.5,1.4,22135,730,87.4,1.3,84.3,1.4,2.4,0.7,45388,1283,81.2,1.3,75.6,1.4,6.3,0.9,21886,933,83.1,1.9,76.7,2.0,6.7,1.1,23502,869,79.5,1.6,74.5,1.9,5.9,1.3,4840,404,77.4,3.6,70.1,4.0,8.7,2.6,2068,236,77.3,5.5,71.9,5.9,5.5,3.2,818,168,74.2,8.9,65.9,10.6,11.2,8.1,1954,311,78.9,6.6,70.1,7.3,10.9,4.8,6539,711,41.3,4.3,25.3,3.3,38.8,6.2,38100,1141,88.7,1.1,84.9,1.2,3.6,0.6,5290,569,45.7,5.6,38.6,5.4,15.5,5.1,41206,1265,82.1,1.3,76.8,1.4,5.7,0.8,2941,423,49.8,7.4,37.9,7.8,23.9,9.4,6045,482,67.0,4.2,59.3,4.5,11.6,3.2,6110,573,71.8,4.6,64.0,4.4,11.0,2.9,26110,899,91.6,1.0,88.3,1.2,2.6,0.7
8600000US20003,20003,ZCTA5 20003,26330,806,71.5,1.7,66.6,2.1,5.2,1.4,679,163,20.6,11.8,15.0,10.8,20.3,17.8,1713,345,62.6,9.6,48.1,9.4,16.0,10.8,4839,481,83.2,3.3,78.0,5.1,5.4,4.1,4572,427,88.6,3.7,85.0,4.1,2.4,2.0,5710,384,80.9,3.8,76.2,3.6,4.4,1.9,3139,326,76.3,5.4,70.6,5.3,6.5,2.6,1629,221,66.9,6.6,63.4,6.3,4.5,3.1,1119,181,58.8,9.1,55.9,8.8,5.0,5.7,1751,216,37.7,6.8,36.1,7.0,4.2,3.6,1179,170,9.0,3.5,8.7,3.5,3.8,5.4,16663,607,86.6,1.4,83.7,1.5,1.6,0.5,8041,579,39.6,3.4,30.8,3.9,21.6,7.6,81,95,30.9,10.2,4.9,10.9,84.0,34.9,705,167,83.7,8.4,79.7,9.0,2.6,4.7,14,23,100.0,82.2,100.0,82.2,0.0,82.3,270,121,49.6,20.3,39.6,17.6,11.6,17.4,556,114,80.4,9.6,78.8,10.1,0.0,7.7,1492,239,77.9,8.3,73.5,8.4,3.5,2.5,15552,589,86.7,1.3,83.8,1.5,1.6,0.5,22721,751,78.8,1.6,73.5,2.2,5.1,1.5,11881,605,73.1,2.6,68.1,3.2,4.1,1.6,10840,524,85.1,2.0,79.5,2.7,6.1,2.0,2232,199,81.5,5.5,69.8,7.4,14.0,7.1,1092,172,87.5,4.9,79.9,8.1,8.1,8.9,370,142,67.0,19.3,53.2,20.8,20.6,26.4,770,137,79.9,10.3,63.5,12.9,20.5,12.3,2210,469,48.1,6.0,21.1,6.1,55.2,13.3,18049,668,92.7,1.1,89.9,1.4,1.9,0.8,1333,250,40.5,7.3,28.8,7.4,27.3,13.2,21008,669,80.2,1.7,75.6,2.2,4.5,1.3,1063,230,15.4,7.1,9.9,6.4,36.0,23.2,2209,349,32.5,6.1,24.0,7.1,26.2,14.4,1968,304,60.0,6.3,46.6,7.5,22.3,9.9,15768,603,93.7,1.3,90.9,1.4,1.6,0.7
8600000US20004,20004,ZCTA5 20004,1610,189,88.0,3.9,80.9,5.0,4.3,2.7,0,12,-,**,-,**,-,**,30,21,60.0,32.9,60.0,32.9,0.0,72.5,193,66,89.6,9.8,86.0,10.1,0.0,18.9,253,76,93.7,7.0,91.3,8.1,2.5,4.5,423,109,97.9,3.2,76.8,11.8,11.4,8.1,327,101,96.6,5.1,96.6,5.1,0.0,10.5,81,39,79.0,24.0,65.4,29.0,17.2,24.2,99,51,68.7,18.2,68.7,18.2,0.0,37.3,146,68,77.4,14.9,77.4,14.9,0.0,26.1,58,41,22.4,33.8,22.4,33.8,0.0,85.4,1217,167,84.6,5.0,78.6,5.9,2.0,2.1,81,58,100.0,33.5,86.4,22.2,13.6,22.2,0,12,-,**,-,**,-,**,207,78,96.6,5.5,87.0,11.8,10.0,11.5,0,12,-,**,-,**,-,**,9,14,100.0,100.0,100.0,100.0,0.0,100.0,96,59,100.0,29.7,91.7,14.0,8.3,14.0,127,80,100.0,23.8,69.3,31.2,8.3,11.7,1133,163,83.5,5.4,79.7,5.8,2.2,2.2,1406,168,91.7,3.3,83.7,5.1,4.8,2.9,703,118,92.0,4.7,83.8,8.1,1.8,2.8,703,100,91.5,4.8,83.6,6.4,7.5,5.0,60,31,88.3,19.4,88.3,19.4,0.0,42.3,37,27,81.1,30.0,81.1,30.0,0.0,56.2,0,12,-,**,-,**,-,**,23,20,100.0,64.2,100.0,64.2,0.0,64.2,99,43,67.7,22.8,47.5,25.4,29.9,30.0,1307,165,93.6,3.1,86.5,5.0,3.3,2.4,95,55,76.8,26.6,76.8,26.6,0.0,35.8,1376,165,92.4,3.2,84.2,5.2,4.8,2.9,0,12,-,**,-,**,-,**,14,21,100.0,82.2,100.0,82.2,0.0,82.3,70,39,90.0,15.5,74.3,23.4,17.5,24.1,1292,170,92.5,3.3,84.6,5.3,4.2,2.9
8600000US20005,20005,ZCTA5 20005,12311,757,84.0,3.1,81.2,3.3,2.9,1.2,68,89,66.2,66.2,66.2,66.2,0.0,45.9,826,227,87.7,6.7,79.3,9.3,9.5,7.5,2766,459,95.3,3.4,94.5,3.5,0.8,0.9,2766,396,93.2,6.1,92.3,6.3,1.0,1.0,2304,404,94.1,3.5,91.6,4.0,0.8,0.8,1430,289,86.2,9.6,77.6,11.2,10.1,6.6,534,162,80.0,15.3,78.1,14.8,2.3,4.0,576,186,43.9,14.6,41.3,14.8,5.9,10.7,727,170,30.0,15.3,28.1,14.8,6.4,9.6,314,122,17.2,20.4,17.2,20.4,0.0,41.9,8079,674,91.0,2.4,89.1,2.5,2.0,1.0,1907,366,59.0,10.8,53.1,10.5,10.0,7.3,105,103,21.0,43.2,21.0,43.2,0.0,65.6,1011,267,82.5,8.2,76.2,10.2,4.0,4.2,27,40,100.0,59.2,100.0,59.2,0.0,59.2,591,394,75.1,22.1,75.1,22.1,0.0,7.6,591,229,89.5,8.4,88.8,8.7,0.8,1.6,1943,565,84.8,10.1,83.2,9.9,1.9,2.2,7030,645,91.5,2.7,89.7,2.7,1.8,1.0,11202,725,89.4,3.1,86.6,3.3,2.8,1.3,5860,620,90.7,4.0,87.2,4.3,3.1,1.8,5342,371,88.1,4.6,85.9,4.8,2.5,1.5,440,145,68.0,35.0,68.0,35.0,0.0,11.0,227,122,90.3,13.0,90.3,13.0,0.0,15.6,118,179,0.0,25.2,0.0,25.2,-,**,95,68,98.9,8.6,98.9,8.6,0.0,30.1,1099,273,47.1,13.8,28.6,10.3,39.4,14.8,10091,724,94.2,2.4,93.0,2.5,0.8,0.6,701,209,48.5,16.9,39.5,16.8,18.5,18.8,10376,715,89.6,3.4,87.1,3.6,2.3,1.1,565,361,63.4,22.0,63.4,22.0,0.0,9.3,798,307,70.2,17.3,64.2,17.5,8.6,10.2,856,289,76.6,13.3,73.1,14.0,4.6,5.9,8157,566,94.7,2.3,92.5,2.6,1.7,0.8
8600000US20006,20006,ZCTA5 20006,2780,331,42.3,5.0,38.2,4.9,9.7,6.1,1528,247,26.7,6.5,22.1,6.0,17.2,12.1,754,248,49.1,10.1,47.2,9.5,3.8,4.8,221,103,79.6,18.0,66.1,23.8,17.0,24.8,37,32,97.3,7.7,97.3,7.7,0.0,51.3,112,57,92.9,11.7,92.9,11.7,0.0,27.9,17,17,100.0,74.6,100.0,74.6,0.0,74.6,18,19,55.6,55.6,55.6,55.6,0.0,97.3,39,13,79.5,26.4,79.5,26.4,0.0,55.3,32,36,68.8,50.6,68.8,50.6,0.0,65.6,22,13,4.5,12.4,4.5,12.4,0.0,100.0,1934,272,40.2,6.9,37.2,6.9,7.5,6.0,291,89,48.8,14.6,42.3,14.0,13.4,14.8,0,12,-,**,-,**,-,**,391,147,43.0,18.4,41.2,18.6,4.2,9.5,8,19,0.0,100.0,0.0,100.0,-,**,34,30,79.4,46.1,79.4,46.1,0.0,59.2,122,78,49.2,31.7,24.6,22.9,50.0,50.0,273,79,35.9,14.9,34.1,14.7,5.1,11.9,1744,268,41.7,7.6,38.6,7.4,7.3,5.8,1198,268,62.1,8.2,58.4,7.8,5.9,6.8,645,224,61.2,10.6,55.3,9.6,9.6,12.4,553,134,63.1,11.2,62.0,11.9,1.7,4.1,0,12,-,**,-,**,-,**,0,12,-,**,-,**,-,**,0,12,-,**,-,**,-,**,0,12,-,**,-,**,-,**,354,145,46.6,16.8,35.9,13.7,23.0,25.9,432,122,87.7,6.7,87.7,6.7,0.0,8.8,66,36,60.6,30.3,60.6,30.3,0.0,48.7,444,109,84.2,10.4,77.5,12.8,8.0,12.3,0,12,-,**,-,**,-,**,0,12,-,**,-,**,-,**,18,19,55.6,55.6,55.6,55.6,0.0,97.3,426,103,85.4,10.5,78.4,13.2,8.2,12.6
8600000US20007,20007,ZCTA5 20007,23866,985,73.0,2.2,69.7,2.2,4.5,1.4,1078,280,36.1,11.0,21.2,9.9,41.4,25.1,3502,723,57.8,6.5,55.6,6.4,3.8,2.8,3864,608,89.6,3.9,86.0,3.9,4.0,2.5,2486,417,90.3,4.7,88.3,4.8,2.2,2.2,3433,403,89.0,4.0,86.2,4.5,3.1,2.4,2962,356,88.8,3.4,84.3,4.4,5.1,3.9,1247,238,90.9,4.8,86.9,6.6,4.3,4.2,1455,291,68.3,10.2,65.2,9.8,4.5,4.8,2149,266,55.8,7.4,54.4,7.6,2.6,3.3,1690,285,17.2,5.8,17.2,5.8,0.0,11.4,19653,803,73.2,2.3,70.1,2.3,4.3,1.5,1193,457,71.2,13.6,65.2,14.0,8.5,7.1,20,31,100.0,68.8,100.0,68.8,0.0,68.8,1909,381,67.1,8.4,65.4,8.6,2.5,2.6,0,23,-,**,-,**,-,**,345,191,93.0,8.7,90.4,10.1,2.8,4.7,746,238,74.8,10.7,68.6,12.7,8.2,9.0,2195,389,78.7,6.4,74.5,6.9,5.4,4.0,17901,790,72.8,2.4,69.7,2.4,4.3,1.6,18949,977,82.0,2.3,78.9,2.3,3.8,1.1,9021,881,81.6,3.8,77.6,3.8,4.9,2.0,9928,545,82.4,3.0,80.1,3.0,2.7,1.2,2040,249,83.6,4.8,83.6,4.8,0.0,2.0,761,181,92.6,5.7,92.6,5.7,0.0,4.8,165,77,91.5,11.7,91.5,11.7,0.0,20.5,1114,215,76.2,7.8,76.2,7.8,0.0,4.0,2743,693,44.5,8.2,40.7,8.1,8.5,6.2,15484,657,90.4,1.8,87.4,2.0,3.4,1.2,554,203,79.1,14.5,68.6,15.9,13.2,12.3,15447,651,87.5,2.0,84.2,2.0,3.8,1.2,299,157,87.3,9.5,76.9,16.1,11.9,17.1,405,128,90.4,7.6,90.4,7.6,0.0,9.1,1048,231,85.6,8.4,79.9,10.2,6.7,7.1,13695,633,87.6,2.2,84.5,2.2,3.5,1.2
8600000US20008,20008,ZCTA5 20008,26034,881,79.0,1.8,76.9,1.9,2.5,0.9,383,158,17.5,13.1,16.2,12.1,7.5,9.1,1490,322,76.1,10.9,73.7,11.1,2.9,3.1,4134,633,91.4,3.8,89.7,4.1,1.9,2.5,3901,521,92.2,3.4,91.0,3.3,1.3,1.5,4739,613,94.0,2.9,91.3,3.5,2.3,1.9,3538,461,91.0,3.5,89.4,3.7,1.6,1.4,1137,215,86.7,5.9,81.5,6.2,6.0,4.6,1695,280,86.0,6.6,78.7,7.0,8.4,5.7,2922,289,49.1,5.9,48.4,5.8,1.5,1.7,2095,316,21.4,7.9,21.4,7.9,0.0,7.5,21008,897,80.0,1.8,77.9,1.9,2.4,1.0,2198,542,70.5,9.2,68.1,9.3,3.4,3.8,20,32,50.0,13.2,50.0,13.2,0.0,97.3,1474,363,73.9,9.0,73.9,9.0,0.0,3.2,18,29,100.0,72.5,0.0,72.5,100.0,72.5,780,308,80.6,11.9,76.7,14.6,4.9,8.6,536,206,86.9,9.5,86.4,9.6,0.0,7.3,3065,475,84.6,4.9,81.0,5.5,4.3,2.8,19059,869,79.6,1.9,77.7,2.0,2.2,1.0,20634,757,90.3,1.8,87.8,2.0,2.6,1.0,9442,544,94.0,2.0,91.7,2.2,2.1,1.0,11192,614,87.1,2.6,84.4,2.9,3.1,1.6,1942,273,75.5,7.2,72.4,7.5,4.2,4.2,804,208,71.9,11.7,71.9,11.7,0.0,5.9,347,121,76.1,18.8,76.1,18.8,0.0,12.4,791,178,79.0,10.6,71.3,11.1,9.8,9.4,1490,338,57.4,10.3,50.7,10.0,11.8,7.7,19089,805,93.0,1.6,90.9,1.9,2.2,1.0,629,181,82.0,10.8,78.7,11.6,3.5,5.0,19144,761,91.4,1.7,88.8,2.0,2.6,1.0,104,71,42.3,37.7,42.3,37.7,0.0,46.4,324,130,83.6,17.8,77.5,18.2,7.4,9.0,1091,327,83.8,8.6,78.0,11.0,6.9,7.2,17625,824,92.3,1.6,90.0,1.9,2.3,1.0
8600000US20009,20009,ZCTA5 20009,46797,1266,83.7,1.3,80.0,1.3,4.2,0.9,764,270,30.6,14.6,28.8,13.4,6.0,10.1,2461,373,82.4,7.3,72.4,7.6,12.1,5.1,11362,827,93.6,2.2,91.5,2.3,2.0,1.2,9037,723,94.4,2.0,92.4,2.1,2.0,1.0,8989,662,93.1,2.2,89.0,2.5,4.1,1.7,5516,543,92.3,2.8,85.4,4.4,6.6,3.5,2388,419,75.4,6.7,72.5,6.7,3.8,3.4,2166,364,55.4,7.6,50.9,7.2,8.1,5.4,2590,364,42.0,8.0,37.0,8.1,11.9,8.3,1524,263,12.2,6.0,11.3,6.3,7.5,14.0,32669,1182,88.9,1.3,85.9,1.3,3.1,0.8,8144,885,61.6,5.1,53.7,5.1,12.8,4.4,55,64,45.5,46.9,45.5,46.9,0.0,61.6,2844,385,89.3,3.5,88.6,3.7,0.7,0.9,84,83,100.0,32.7,100.0,32.7,0.0,32.7,1744,514,75.2,10.2,72.7,9.9,1.4,1.7,1257,319,90.5,7.8,87.4,8.3,3.3,3.4,5625,777,82.6,4.9,79.5,4.9,2.8,1.5,29441,1086,89.4,1.3,86.3,1.4,3.2,0.9,41919,1299,89.8,1.3,86.0,1.2,3.9,0.9,22034,1078,91.2,1.5,87.4,1.5,3.7,1.1,19885,758,88.3,2.0,84.6,2.1,4.1,1.3,2465,364,80.6,6.8,72.5,6.5,10.1,5.8,1105,257,83.5,9.1,79.5,9.1,4.9,4.2,370,174,53.8,27.3,33.5,23.7,37.7,35.5,990,253,87.3,8.0,79.2,9.9,9.3,8.7,3732,549,50.6,6.4,33.2,5.9,34.4,9.4,38063,1189,93.8,1.0,91.4,1.0,2.3,0.6,2383,456,55.9,9.9,50.4,10.9,9.8,8.3,39458,1203,90.3,1.3,86.9,1.3,3.4,0.8,2308,557,66.2,9.4,59.2,10.1,10.6,8.3,2298,373,69.6,9.3,64.0,8.4,8.1,5.9,2621,417,81.3,6.1,77.8,6.9,4.0,3.9,32231,1089,94.2,1.1,91.3,1.0,2.8,0.7
8600000US20010,20010,ZCTA5 20010,28736,1215,79.2,1.8,74.7,2.0,5.6,1.1,814,246,26.7,10.9,17.2,10.4,35.5,25.3,2150,392,81.6,7.9,74.8,9.6,8.3,5.3,6021,623,94.0,2.5,90.6,2.8,3.5,1.9,5217,589,90.0,4.3,86.8,4.4,3.3,2.2,5624,644,91.0,3.3,87.8,3.6,3.5,1.7,3558,489,87.1,5.6,79.8,6.4,8.0,3.7,1265,259,82.1,7.4,69.3,9.4,15.5,7.2,1207,238,56.1,12.1,50.6,11.3,9.7,7.3,1768,223,25.8,7.5,23.6,7.9,8.5,8.0,1112,221,5.4,3.9,5.4,3.9,0.0,39.7,14734,911,87.2,2.6,84.1,2.7,3.4,0.9,7372,834,61.4,4.5,52.8,5.1,14.1,4.1,60,47,100.0,39.7,76.7,32.2,23.3,32.2,1150,257,89.4,4.7,86.1,5.5,3.0,3.5,0,26,-,**,-,**,-,**,4299,881,77.9,5.7,75.0,6.2,3.6,2.5,1121,319,85.7,7.1,83.4,6.9,2.7,3.5,7919,985,77.9,3.9,73.8,4.3,5.2,2.0,11801,663,89.9,2.5,87.8,2.6,2.2,0.8,25042,1176,88.0,2.1,83.3,2.2,5.2,1.1,12787,878,88.2,3.0,83.5,3.3,5.2,1.7,12255,722,87.8,2.2,83.1,2.4,5.2,1.5,2528,339,81.6,6.5,75.4,6.8,7.7,4.0,899,221,75.1,11.5,70.1,11.9,6.7,8.6,456,175,71.7,18.3,64.7,19.9,9.8,9.6,1173,250,90.5,6.2,83.6,8.1,7.6,5.8,2479,393,67.5,6.9,49.8,7.9,26.2,8.3,22519,1142,90.4,2.0,87.1,2.0,3.5,1.0,1755,487,51.6,14.3,44.4,13.4,13.9,8.6,22892,1141,88.6,2.1,84.1,2.1,5.0,1.1,3481,606,82.1,5.2,77.0,6.2,6.3,3.2,2850,556,76.8,5.8,68.7,5.9,10.6,5.3,2403,521,78.5,8.9,70.0,8.0,10.8,6.2,14158,661,94.3,1.8,91.3,1.9,2.9,0.9
