,lat,lng,name,vicinity,placeid
0,38.9175676,-77.020726,Howard University Hospital:pulmonary,"2041 Georgia Avenue Northwest, Washington",ChIJf2TW1OS3t4kRmYwM_D3YU9g
1,38.9053115,-77.0127649,"Shiban Raina, MD","128 M Street Northwest #050, Washington",ChIJqVHvjcHHt4kR9bkSKfeYk6M
2,38.90536280000001,-77.0183771,Aziz Salim MD,"2175 K Street Northwest, Washington",ChIJO7BERbS3t4kRdCq1JjRVF9c
3,38.9103106,-77.021587,Abramson Randi C MD,"1525 7th Street Northwest, Washington",ChIJNcEa_fG3t4kROr29e7EFZJw
4,38.9103106,-77.021587,"Hope Ferdowsian, MD, MPH","1525 7th Street Northwest, Washington",ChIJxfO-cZTJt4kR1eicxoihlSc
5,38.9103235,-77.0216105,Myles Joan M MD,"1525 7th Street Northwest, Washington",ChIJNcEa_fG3t4kRnXgzDTpaT9I
6,38.9103106,-77.021587,Bread For the City Med Clinic: Villivalam Arun K MD,"1525 7th Street Northwest, Washington",ChIJNcEa_fG3t4kROZ9NeaClPoo
7,38.9103106,-77.021587,Bread For the City Med Clinic: Lurie Nicole MD,"1525 7th Street Northwest, Washington",ChIJNcEa_fG3t4kRlQhvdl36UsA
8,38.9175676,-77.020726,Howard University Hospital: Hughes Atta K MD,"2041 Georgia Avenue Northwest # 5100, Washington",ChIJf2TW1OS3t4kRFzKOo_0PD4U
9,38.9176479,-77.02201219999999,Rose David a MD,"2041 Georgia Avenue Northwest # 4000, Washington",ChIJf2TW1OS3t4kRhhK-Ny741q8
10,38.9176479,-77.02201219999999,Howard University Hospital: Gadsden Tonja MD,"2041 Georgia Avenue Northwest # 5100, Washington",ChIJf2TW1OS3t4kRkdy1VK3LDEA
11,38.9176479,-77.02201219999999,Smith-White Roxanne A MD,"2041 Georgia Avenue Northwest # 5100, Washington",ChIJf2TW1OS3t4kRNaLJ7UWZUOk
12,38.9176479,-77.02201219999999,Howard University Hospital: Reece Elena Rose MD,"2041 Georgia Avenue Northwest # 5100, Washington",ChIJf2TW1OS3t4kRAf78aPBMl98
13,38.9174758,-77.02015109999999,"Dr. Sara L. Horton, MD","2041 Georgia Avenue Northwest, Washington",ChIJf2TW1OS3t4kRwMJw4yyzk7M
14,38.9175305,-77.0204416,"Tanya Alim, MD","2041 Georgia Avenue Northwest, Washington",ChIJf2TW1OS3t4kR1z8Th05p4Co
15,38.9175305,-77.02044169999999,"Tamrat Retta, MD","Towers, 2041 Georgia Avenue Northwest #5100, Washington",ChIJf2TW1OS3t4kRylOCNLwaOW4
16,38.9175305,-77.0204416,"Janaki Kalyanam, MD","2041 Georgia Avenue Northwest #1T-30, Washington",ChIJf2TW1OS3t4kRjiiVrQYzOqI
17,38.9175676,-77.020726,Howard University Hospital: Porter Amina A MD,"2041 Georgia Avenue Northwest # 5100, Washington",ChIJf2TW1OS3t4kRznJfF8teX5k
18,38.9175676,-77.020726,Howard University Hospital: Mc Donald-Pink Shelly MD,"2041 Georgia Avenue Northwest, Washington",ChIJf2TW1OS3t4kRQ-qJPJmnj4s
19,38.9176479,-77.02201219999999,Ansari-Lawal Aaisya MD,"2041 Georgia Avenue Northwest # 4000, Washington",ChIJf2TW1OS3t4kR-nWqQYIAmAc
20,38.9176479,-77.02201219999999,Choudhary Imtiaz A MD,"2041 Georgia Avenue Northwest # 4000, Washington",ChIJf2TW1OS3t4kRSiKjtVUvFUw
21,38.9176479,-77.02201219999999,Booker Jr Sylvester C MD,"2041 Georgia Avenue Northwest # 3200, Washington",ChIJf2TW1OS3t4kRpSZKj2vAGiI
22,38.9176479,-77.02201219999999,Howard University Hospital: Mellman Thomas A MD,"2041 Georgia Avenue Northwest # 5100, Washington",ChIJf2TW1OS3t4kRL75C_40O8rk
23,38.9176479,-77.02201219999999,Howard University Physicians: Wilson Robert MD,"2041 Georgia Avenue Northwest # 3200, Washington",ChIJf2TW1OS3t4kR1eImMDyNW8k
24,38.9176479,-77.02201219999999,"Dr. Laila Alamgir, MD","2041 Georgia Avenue Northwest #5000, Washington",ChIJf2TW1OS3t4kRSVGlGBxGmns
25,38.9176479,-77.02201219999999,Howard University Hospital: Lewis Kerry M MD,"2041 Georgia Avenue Northwest, Washington",ChIJf2TW1OS3t4kR3l_cVMzHxSA
26,38.9175676,-77.020726,Howard University Hospital: Jones Leslie S MD,"2041 Georgia Avenue Northwest # 5100, Washington",ChIJf2TW1OS3t4kRmJYhTybgJos
27,38.9174916,-77.0200653,Howard University Hospital | Psychiatry and Behavioral Sciences,"2041 Georgia Avenue Northwest #5b01, Washington",ChIJf2TW1OS3t4kR_7Qlgx5YlxM
28,38.9175676,-77.020726,"Dr. Rebat M. Halder, MD","2041 Georgia Avenue Northwest, Washington",ChIJf2TW1OS3t4kR9-T7Qi12i60
29,38.9174599,-77.02006089999999,"Dr. Che M. Harris, MD","2041 Georgia Avenue Northwest, Washington",ChIJf2TW1OS3t4kRo06GKFcYOtw
30,38.9174599,-77.02006089999999,"Dr. Bushra Mastoor, MD","2041 Georgia Avenue Northwest, Washington",ChIJf2TW1OS3t4kRV7FeZXmmNaM
31,38.9174599,-77.02006089999999,"Ruth E. Graves, PhD","2041 Georgia Avenue Northwest, Washington",ChIJf2TW1OS3t4kRxCDfkX4luRM
32,38.9174599,-77.02006089999999,"Dr. Brook Gebeheyu, MD","2041 Georgia Avenue Northwest, Washington",ChIJf2TW1OS3t4kRDRrlcPvTiyY
33,38.9174599,-77.02006089999999,"Dr. Bereket H. Asgedom, MD","2041 Georgia Avenue Northwest, Washington",ChIJf2TW1OS3t4kRcftbRhb0q6I
34,38.9174599,-77.02006089999999,"Dr. Yvonne Wilson, MD","2041 Georgia Avenue Northwest, Washington",ChIJf2TW1OS3t4kRYO_9TjFBkGk
35,38.9174599,-77.02006089999999,"Dr. Martin U. Egenti, MD","2041 Georgia Avenue Northwest, Washington",ChIJf2TW1OS3t4kRYCTEDkcWnrg
36,38.9174599,-77.02006089999999,"Dr. Jean A. Linzau, MD","2041 Georgia Avenue Northwest, Washington",ChIJf2TW1OS3t4kRhHetQi8Dew8
37,38.9174599,-77.02006089999999,"Dr. Laura A. Kharsa, MD","2041 Georgia Avenue Northwest, Washington",ChIJf2TW1OS3t4kRG7rxMxofOZI
38,38.9174599,-77.02006089999999,"Dr. Besrat Mesfin, MD","2041 Georgia Avenue Northwest, Washington",ChIJf2TW1OS3t4kRx0hLikxo-uc
39,38.9174599,-77.02006089999999,"Dr. Mehdi Koolaee, MD","2041 Georgia Avenue Northwest, Washington",ChIJf2TW1OS3t4kRIo_b1_cELGk
40,38.89922490000001,-76.9798776,"Richard A. Wilson Jr., MD","1647 Benning Road Northeast, Washington",ChIJdSfUKAHIt4kRGkWAolovdqE
41,38.899225,-76.979878,"District Podiatry, PLLC: Lubrina Bryant, DPM","1647 Benning Road Northeast #301, Washington",ChIJx8WFckK4t4kR3gzU2vTktLs
42,38.9065802,-76.9923663,Chittasingh Chantrawan,"800 Florida Avenue Northeast, Washington",ChIJVWGL9xO4t4kRFH78nIbmhgM
43,38.9006259,-76.978268,"Marcia J. Jackson-Hooper, RN","801 17th Street Northeast, Washington",ChIJ8bDRM2i4t4kRbReQOuQPAw8
44,38.90054370000001,-76.9812635,Kool Smiles Dentist,"1531 Maryland Avenue Northeast, Washington",ChIJcYTMDmq4t4kRRoVM7Pq1wyU
45,38.899228,-76.9798921,"Edwin C. Chapman, MD","1647 Benning Road Northeast #200, Washington",ChIJx8WFckK4t4kRYvXfHdSv_Ls
46,38.9024448,-76.9822827,"Dr. Sally L. Satel, MD","910 Bladensburg Road Northeast, Washington",ChIJ6-YHLWq4t4kRHrGvklT6ZV8
47,38.8988434,-76.9773012,Ulnacs Medical Care,"1809 Benning Road Northeast, Washington",ChIJ8R3Ql0K4t4kRDVR-Il-Tkxo
48,38.899228,-76.9798921,Mary L Scott Md Inc,"1647 Benning Road Northeast # 300A, Washington",ChIJx8WFckK4t4kRz6rEQFACrOs
49,38.9012797,-76.98208269999999,"Megan E. Coleman, FNP","845 Bladensburg Road Northeast, Washington",ChIJIRcrH2q4t4kRg0OPT3W1GDI
50,38.9006259,-76.978268,Krones Judith K,"801 17th Street Northeast, Washington",ChIJ8bDRM2i4t4kRGbX1IDPYIQ8
51,38.9006227,-76.9782924,"Amy F. Nassar, NP","801 17th Street Northeast, Washington",ChIJ8bDRM2i4t4kRd4kSTwsU2bA
52,38.9006227,-76.9782924,"Kathleen Logan, CRNP","801 17th Street Northeast, Washington",ChIJ8bDRM2i4t4kRr7zzagb2Ya0
53,38.9006227,-76.9782924,"Karen J. Pelote, CNM","801 17th Street Northeast, Washington",ChIJ8bDRM2i4t4kRxuew3R3gUYY
54,38.9006227,-76.9782924,"Jamie E. Swietlikowski, CNM","801 17th Street Northeast, Washington",ChIJ8bDRM2i4t4kRMQlUNVsscsw
55,38.9006259,-76.978268,"Erika G. Sawyer, Erika","801 17th Street Northeast, Washington",ChIJ8bDRM2i4t4kRmrN6vhIcrqg
56,38.9006259,-76.978268,"Rachel L. Alfonso, APRN","801 17th Street Northeast, Washington",ChIJ8bDRM2i4t4kRmXwNdjl7RHY
57,38.9006259,-76.978268,Thomas Kandace L,"801 17th Street Northeast, Washington",ChIJ8bDRM2i4t4kRE4QX93Heud0
