zip,city,county
20001,"Washington, DC ",District Of Columbia 
20002,"Washington, DC ",District Of Columbia 
20003,"Washington, DC ",District Of Columbia 
20004,"Washington, DC ",District Of Columbia 
20005,"Washington, DC ",District Of Columbia 
20006,"Washington, DC ",District Of Columbia 
20007,"Washington, DC ",District Of Columbia 
20008,"Washington, DC ",District Of Columbia 
20009,"Washington, DC ",District Of Columbia 
20010,"Washington, DC ",District Of Columbia 
20011,"Washington, DC ",District Of Columbia 
20012,"Washington, DC ",District Of Columbia 
20013,"Washington, DC ",District Of Columbia 
20015,"Washington, DC ",District Of Columbia 
20016,"Washington, DC ",District Of Columbia 
20017,"Washington, DC ",District Of Columbia 
20018,"Washington, DC ",District Of Columbia 
20019,"Washington, DC ",District Of Columbia 
20020,"Washington, DC ",District Of Columbia 
20022,"Washington, DC ",District Of Columbia 
20023,"Washington, DC ",District Of Columbia 
20024,"Washington, DC ",District Of Columbia 
20026,"Washington, DC ",District Of Columbia 
20027,"Washington, DC ",District Of Columbia 
20029,"Washington, DC ",District Of Columbia 
20030,"Washington, DC ",District Of Columbia 
20032,"Washington, DC ",District Of Columbia 
20033,"Washington, DC ",District Of Columbia 
20035,"Washington, DC ",District Of Columbia 
20036,"Washington, DC ",District Of Columbia 
20037,"Washington, DC ",District Of Columbia 
20038,"Washington, DC ",District Of Columbia 
20039,"Washington, DC ",District Of Columbia 
20040,"Washington, DC ",District Of Columbia 
20041,"Washington, DC ",District Of Columbia 
20042,"Washington, DC ",District Of Columbia 
20043,"Washington, DC ",District Of Columbia 
20044,"Washington, DC ",District Of Columbia 
20045,"Washington, DC ",District Of Columbia 
20046,"Washington, DC ",District Of Columbia 
20047,"Washington, DC ",District Of Columbia 
20049,"Washington, DC ",District Of Columbia 
20050,"Washington, DC ",District Of Columbia 
20051,"Washington, DC ",District Of Columbia 
20052,"Washington, DC ",District Of Columbia 
20053,"Washington, DC ",District Of Columbia 
20055,"Washington, DC ",District Of Columbia 
20056,"Washington, DC ",District Of Columbia 
20057,"Washington, DC ",District Of Columbia 
20058,"Washington, DC ",District Of Columbia 
20059,"Washington, DC ",District Of Columbia 
20060,"Washington, DC ",District Of Columbia 
